word,times_added,times_removed,net_change,absolute_change
columbus,21,40,-19,61
crown,15,13,2,28
americas,14,24,-10,38
world,14,22,-8,36
exchange,12,19,-7,31
hispaniola,12,11,1,23
people,10,8,2,18
diseases,10,17,-7,27
columbian,10,17,-7,27
history,9,14,-5,23
old,9,14,-5,23
discovered,9,13,-4,22
new,9,10,-1,19
european,8,7,1,15
spanish,8,14,-6,22
led,8,8,0,16
oxford,8,12,-4,20
island,8,6,2,14
western,8,9,-1,17
america,8,9,-1,17
economic,8,10,-2,18
settlements,7,5,2,12
later,7,7,0,14
called,7,7,0,14
journal,7,9,-2,16
relationship,6,5,1,11
350px,6,0,6,6
dismissal,6,5,1,11
colonizer,6,5,1,11
diego,6,6,0,12
colonial,6,6,0,12
westward,6,5,1,11
1500,6,5,1,11
explorer,6,5,1,11
governor,6,5,1,11
routes,5,3,2,8
strained,5,5,0,10
short,5,6,-1,11
native,5,7,-2,12
owed,5,6,-1,11
university,5,8,-3,13
claimed,5,5,0,10
protracted,5,5,0,10
litigation,5,5,0,10
benefits,5,5,0,10
appointed,5,5,0,10
modern,5,4,1,9
lands,5,5,0,10
category,5,3,2,8
labelling,5,5,0,10
arrest,5,5,0,10
visited,5,5,0,10
disease,5,7,-2,12
heirs,5,5,0,10
press,5,8,-3,13
administrators,5,5,0,10
including,4,5,-1,9
genocide,4,6,-2,10
slaves,4,5,-1,9
james,4,4,0,8
19,4,6,-2,10
food,4,7,-3,11
signature,4,4,0,8
contact,4,6,-2,10
giacomo,4,4,0,8
voyages,4,5,-1,9
route,4,4,0,8
europeans,4,7,-3,11
italian,4,3,1,7
crosby,4,6,-2,10
pages,4,4,0,8
north,4,8,-4,12
natives,4,13,-9,17
seville,4,4,0,8
trade,4,1,3,5
sex,4,4,0,8
spain,4,8,-4,12
asia,4,2,2,6
2012,4,6,-2,10
genoa,4,3,1,7
ideas,4,6,-2,10
vol,4,7,-3,11
comparison,3,3,0,6
indians,3,4,-1,7
lived,3,2,1,5
massive,3,3,0,6
p16,3,3,0,6
brought,3,4,-1,7
earth,3,2,1,5
castile,3,3,0,6
2018,3,3,0,6
slave,3,1,2,4
