word,times_added,times_removed,net_change,absolute_change
day,7,10,-3,17
peoples,5,9,-4,14
indigenous,5,8,-3,13
history,4,5,-1,9
celebrates,3,2,1,5
state,3,0,3,3
working,2,2,0,4
snoop,2,2,0,4
news,2,4,-2,6
mom,2,2,0,4
dogg,2,2,0,4
2nd,2,2,0,4
united,2,2,0,4
honor,2,2,0,4
yo,2,2,0,4
site,2,2,0,4
place,2,2,0,4
news2,2,2,0,4
americans,2,1,1,3
id,2,2,0,4
south,2,3,-1,5
hippopotamus,2,2,0,4
native,2,4,-2,6
holiday,2,3,-1,5
dakota,2,3,-1,5
page,2,2,0,4
culture,2,2,0,4
newsarticle,2,2,0,4
beginning,2,2,0,4
9210,2,2,0,4
aktalakota,2,2,0,4
stjo,2,2,0,4
coinciding,2,0,2,2
changed,2,2,0,4
article219312355,1,1,0,2
year,1,2,-1,3
toabgo,1,1,0,2
leftists,1,1,0,2
image,1,1,0,2
somerville,1,2,-1,3
local,1,1,0,2
1492,1,0,1,1
book,1,2,-1,3
oklahoma,1,6,-5,7
people,1,4,-3,5
italian,1,1,0,2
intended,1,0,1,1
october,1,2,-1,3
celebrated,1,1,0,2
shining,1,0,1,1
kind,1,1,0,2
exception,1,0,1,1
america,1,1,0,2
file,1,1,0,2
especially,1,1,0,2
image_size,1,1,0,2
300px,1,1,0,2
began,1,1,0,2
criticized,1,1,0,2
propagandized,1,1,0,2
1990,1,2,-1,3
8084917906,1,1,0,2
arisona,1,1,0,2
indian,1,0,1,1
governor,1,2,-1,3
holiday_name,1,1,0,2
late,1,0,1,1
initiated,1,1,0,2
peru,1,0,1,1
daysometimes,1,1,0,2
mid,1,0,1,1
cunter,1,1,0,2
designated,1,0,1,1
country,1,0,1,1
day_286,1,1,0,2
states,1,1,0,2
feel,1,1,0,2
alaska,1,0,1,1
monday,1,2,-1,3
columbus,1,3,-2,4
infobox,1,1,0,2
fairbanks,1,0,1,1
1989,1,2,-1,3
guerrillas,1,0,1,1
critics,1,1,0,2
mickelson,1,2,-1,3
lagstaff,1,1,0,2
driscoll,1,1,0,2
thenewstribune,1,1,0,2
arizona,1,2,-1,3
contributions,1,1,0,2
lynn,1,2,-1,3
political,1,2,-1,3
explained,1,1,0,2
supposed,1,1,0,2
correctness,1,2,-1,3
_indigenous_peoples_day_,1,1,0,2
harrasment,1,1,0,2
rightfully,1,1,0,2
federal,1,0,1,1
punctuated,1,1,0,2
rethinking,1,2,-1,3
com,1,6,-5,7
held,1,1,0,2
hart,1,2,-1,3
flagstaff,1,2,-1,3
washington,1,4,-3,5
resolution,1,2,-1,3
matt,1,1,0,2
massachusetts,1,2,-1,3
incorrectly,1,2,-1,3
columns,1,1,0,2
say,1,2,-1,3
commemorates,1,2,-1,3
1994,1,0,1,1
shared,1,1,0,2
insurgent,1,0,1,1
plan,1,0,1,1
bookrethinking,1,1,0,2
spread,1,0,1,1
offensive,1,0,1,1
movable,1,0,1,1
american,1,2,-1,3
html,1,1,0,2
counter,1,1,0,2
encouraged,1,0,1,1
celebrations,1,1,0,2
path,1,0,1,1
commemorate,1,0,1,1
blogs,1,1,0,2
jpg,1,1,0,2
observance,1,0,1,1
reconciliation,1,2,-1,3
board,0,1,-1,1
mankato,0,1,-1,1
cincinnati,0,1,-1,1
idaho,0,1,-1,1
cook,0,1,-1,1
bar,0,1,-1,1
welcome,0,1,-1,1
frankfort,0,1,-1,1
vernon,0,1,-1,1
georgia,0,1,-1,1
city,0,4,-4,4
hillsborough,0,1,-1,1
louisville,0,1,-1,1
celebrating,0,1,-1,1
voters,0,1,-1,1
area,0,1,-1,1
jersey,0,1,-1,1
richmond,0,1,-1,1
celebrate,0,2,-2,2
aspen,0,1,-1,1
schools,0,1,-1,1
western,0,1,-1,1
colonization,0,1,-1,1
arkansas,0,1,-1,1
wisconsin,0,3,-3,3
hero,0,1,-1,1
paul,0,1,-1,1
mn,0,1,-1,1
california,0,1,-1,1
marking,0,1,-1,1
somerset,0,1,-1,1
truth,0,1,-1,1
massachusettssomerville,0,1,-1,1
central,0,1,-1,1
indegenous,0,1,-1,1
backed,0,1,-1,1
crab,0,1,-1,1
boise,0,1,-1,1
russell,0,1,-1,1
ohio,0,1,-1,1
university,0,2,-2,2
church,0,1,-1,1
coincide,0,1,-1,1
carolina,0,2,-2,2
5609818,0,1,-1,1
2017,0,2,-2,2
school,0,2,-2,2
illinois,0,1,-1,1
lancaster,0,1,-1,1
colorado,0,1,-1,1
berea,0,1,-1,1
christopher,0,2,-2,2
tacoma,0,1,-1,1
sharpsburg,0,1,-1,1
observe,0,1,-1,1
content,0,1,-1,1
rhinebeck,0,1,-1,1
oak,0,1,-1,1
cite,0,2,-2,2
started,0,1,-1,1
kansas,0,1,-1,1
500,0,1,-1,1
starks,0,2,-2,2
claire,0,2,-2,2
years,0,2,-2,2
livingston,0,1,-1,1
orchard,0,1,-1,1
prestonsburg,0,1,-1,1
centralmaine,0,1,-1,1
missouri,0,1,-1,1
eau,0,2,-2,2
okmulgee,0,1,-1,1
yakima,0,1,-1,1
actions,0,1,-1,1
americas,0,1,-1,1
newsday,0,1,-1,1
burnside,0,1,-1,1
marais,0,1,-1,1
took,0,1,-1,1
harrodsburg,0,1,-1,1
north,0,3,-3,3
harbor,0,1,-1,1
wausau,0,1,-1,1
children,0,2,-2,2
liberty,0,1,-1,1
violent,0,1,-1,1
trinidad,0,1,-1,1
kentucky,0,23,-23,23
southampton,0,1,-1,1
recognizes,0,1,-1,1
ellsworthamerican,0,1,-1,1
represents,0,1,-1,1
town,0,4,-4,4
fulton,0,1,-1,1
brodhead,0,1,-1,1
woodstock,0,1,-1,1
newsok,0,1,-1,1
park,0,1,-1,1
pullman,0,2,-2,2
ferndale,0,1,-1,1
fireworks,0,1,-1,1
grand,0,1,-1,1
lawton,0,1,-1,1
maine,0,5,-5,5
exceptions,0,1,-1,1
bridgeport,0,1,-1,1
virginia,0,1,-1,1
york,0,7,-7,7
honors,0,1,-1,1
michigan,0,1,-1,1
springfield,0,1,-1,1
science,0,1,-1,1
instituted,0,1,-1,1
second,0,1,-1,1
washingtonhttps,0,1,-1,1
taught,0,2,-2,2
10,0,2,-2,2
francisco,0,1,-1,1
perryville,0,1,-1,1
09,0,1,-1,1
mt,0,1,-1,1
hartford,0,2,-2,2
pittsfield,0,1,-1,1
06,0,1,-1,1
liberationnews,0,1,-1,1
saying,0,1,-1,1
pennsylvania,0,1,-1,1
encourage,0,1,-1,1
london,0,1,-1,1
district,0,1,-1,1
fargo,0,1,-1,1
fairbankshttps,0,1,-1,1
hemisphere,0,1,-1,1
falls,0,1,-1,1
mdislander,0,1,-1,1
springs,0,2,-2,2
tompkins,0,2,-2,2
new,0,9,-9,9
triangle,0,1,-1,1
137,0,23,-23,23
looptt,0,1,-1,1
minnesota,0,2,-2,2
begun,0,1,-1,1
ban,0,1,-1,1
corbin,0,1,-1,1
article,0,1,-1,1
tobagohttp,0,1,-1,1
oklahomahttps,0,1,-1,1
reject,0,1,-1,1
affect,0,1,-1,1
hill,0,1,-1,1
west,0,2,-2,2
mexico,0,1,-1,1
junction,0,1,-1,1
observed,0,1,-1,1
meeting,0,1,-1,1
eureka,0,1,-1,1
st,0,1,-1,1
rochester,0,1,-1,1
san,0,1,-1,1
tt,0,1,-1,1
connecticut,0,3,-3,3
hopkinsville,0,1,-1,1
taylorsville,0,1,-1,1
newark,0,1,-1,1
county,0,3,-3,3
defeat,0,1,-1,1
oct,0,2,-2,2
gouldsboro,0,1,-1,1
