word,times_added,times_removed,net_change,absolute_change
day,547,541,6,1088
indigenous,545,555,-10,1100
columbus,441,466,-25,907
americas,323,339,-16,662
american,312,314,-2,626
native,289,289,0,578
peoples,284,285,-1,569
en,240,240,0,480
wikipedia,236,236,0,472
wiki,233,233,0,466
christopher_columbushttps,232,232,0,464
people,230,235,-5,465
america,227,230,-3,457
european,227,235,-8,462
states,211,221,-10,432
population,193,198,-5,391
new,184,210,-26,394
thumb,170,187,-17,357
world,164,178,-14,342
spanish,161,187,-26,348
united,160,165,-5,325
000,153,162,-9,315
holiday,148,147,1,295
colonies,144,160,-16,304
la,144,152,-8,296
history,131,135,-4,266
americans,122,124,-2,246
century,121,129,-8,250
groups,118,117,1,235
spain,114,116,-2,230
colonial,111,124,-13,235
north,109,118,-9,227
empire,107,119,-12,226
october,107,111,-4,218
national,102,100,2,202
celebrated,99,100,-1,199
populations,99,101,-2,200
día,96,96,0,192
south,94,98,-4,192
years,92,99,-7,191
languages,92,92,0,184
culture,90,93,-3,183
12,89,89,0,178
brazil,87,88,-1,175
indian,87,88,-1,175
cultural,85,87,-2,172
including,83,84,-1,167
europeans,83,88,-5,171
celebration,81,83,-2,164
million,80,80,0,160
colonialism,79,91,-12,170
used,78,77,1,155
country,78,82,-4,160
latin,77,77,0,154
ethnic,77,78,-1,155
category,75,71,4,146
mexico,75,79,-4,154
canada,73,75,-2,148
indians,72,73,-1,145
islands,72,91,-19,163
countries,70,72,-2,142
time,69,74,-5,143
state,67,61,6,128
known,67,71,-4,138
right,67,63,4,130
italian,67,78,-11,145
colonization,66,77,-11,143
government,65,64,1,129
raza,65,65,0,130
cultures,63,61,2,124
present,63,67,-4,130
smallpox,63,65,-2,128
british,60,66,-6,126
diseases,59,67,-8,126
city,58,66,-8,124
christopher,57,69,-12,126
french,57,62,-5,119
columbian,56,64,-8,120
early,55,59,-4,114
nations,55,54,1,109
western,55,63,-8,118
large,54,59,-5,113
bolivia,54,54,0,108
political,54,58,-4,112
observance,52,50,2,102
central,52,53,-1,105
portuguese,52,57,-5,109
economic,51,53,-2,104
del,50,50,0,100
1492,49,48,1,97
colombo,49,49,0,98
african,48,45,3,93
discovery,48,46,2,94
arrival,48,50,-2,98
human,48,50,-2,98
caribbean,47,51,-4,98
language,47,48,-1,95
island,47,54,-7,101
slaves,46,46,0,92
trade,46,45,1,91
pre,46,47,-1,93
africa,46,50,-4,96
peru,45,45,0,90
territory,45,44,1,89
cristoforo,45,45,0,90
celebrate,44,47,-3,91
anniversary,44,44,0,88
president,44,47,-3,91
international,44,47,-3,91
later,43,47,-4,90
left,43,46,-3,89
