word,times_added,times_removed,net_change,absolute_change
columbus,10,23,-13,33
km,7,4,3,11
spain,6,4,2,10
discovery,5,4,1,9
jerusalem,5,11,-6,16
discoveries,4,4,0,8
experiences,4,4,0,8
new,4,6,-2,10
portuguese,4,3,1,7
known,4,4,0,8
voyages,4,6,-2,10
italian,3,3,0,6
miles,3,1,2,4
americas,3,2,1,5
discovered,3,3,0,6
spanish,3,6,-3,9
hands,3,5,-2,8
viable,3,2,1,5
historians,3,2,1,5
american,3,5,-2,8
000,3,1,2,4
millenarian,3,4,-1,7
sailing,3,3,0,6
writes,3,5,-2,8
route,3,2,1,5
society,3,7,-4,10
europeans,3,2,1,5
previously,2,2,0,4
powers,2,2,0,4
colonist,2,1,1,3
ultimate,2,5,-3,7
declination,2,2,0,4
studies,2,5,-3,7
central,2,4,-2,6
delaney,2,6,-4,8
silva,2,0,2,2
united,2,1,1,3
european,2,3,-1,5
700,2,1,1,3
south,2,3,-1,5
act,2,2,0,4
north,2,4,-2,6
hamandi,2,4,-2,6
genoese,2,2,0,4
sighting,2,2,0,4
declinationshen,2,2,0,4
comparative,2,5,-3,7
unknown,2,3,-1,5
april,2,5,-3,7
carol,2,6,-4,8
asia,2,4,-2,6
people,2,5,-3,7
colonization,2,2,0,4
goal,2,5,-3,7
extensive,2,2,0,4
da,2,0,2,2
called,2,2,0,4
governor,2,2,0,4
enthusiastic,2,2,0,4
states,2,1,1,3
contact,2,2,0,4
europe,2,2,0,4
independently,2,2,0,4
200,2,1,1,3
colombus,2,2,0,4
continents,2,2,0,4
quest,2,3,-1,5
2008,2,2,0,4
2006,2,5,-3,7
history,2,6,-4,8
ripe,2,2,0,4
beliefs,2,4,-2,6
identified,2,2,0,4
shen,2,2,0,4
wrote,2,4,-2,6
christian,2,4,-2,6
20,1,0,1,1
ve,1,1,0,2
subsequent,1,1,0,2
cómbo,1,0,1,1
mariner,1,1,0,2
lands,1,2,-1,3
proposals,1,0,1,1
river,1,0,1,1
sepulcher,1,2,-1,3
holy,1,2,-1,3
poison,1,1,0,2
escape,1,1,0,2
stranger,1,1,0,2
plantations,1,1,0,2
writings,1,2,-1,3
silvia,1,0,1,1
dissertations,1,2,-1,3
irish,1,1,0,2
thousands,1,1,0,2
1979,1,2,-1,3
motivations,1,2,-1,3
obscure,1,1,0,2
muslim,1,2,-1,3
800,1,1,0,2
isabella,1,2,-1,3
hickel,1,1,0,2
40,1,1,0,2
faith,1,2,-1,3
dal,1,0,1,1
sheehan,1,2,-1,3
sovereigns,1,2,-1,3
bleed,1,1,0,2
florentine,1,0,1,1
corresponded,1,0,1,1
achieved,1,0,1,1
1700,1,2,-1,3
leadership,1,0,1,1
memorial,1,0,1,1
lobbying,1,0,1,1
thumb,1,0,1,1
kevin,1,2,-1,3
sion,1,2,-1,3
gold,1,6,-5,7
thief,1,1,0,2
newly,1,2,-1,3
prepare,1,2,-1,3
persecution,1,1,0,2
transatlantic,1,1,0,2
natives,1,1,0,2
paolo,1,0,1,1
monument,1,0,1,1
suggestion,1,0,1,1
identification,1,2,-1,3
empire,1,3,-2,4
135,1,0,1,1
accomplished,1,2,-1,3
aragon,1,2,-1,3
resources,1,2,-1,3
