word,times_added,times_removed,net_change,absolute_change
day,38,49,-11,87
columbus,33,37,-4,70
new,11,12,-1,23
indigenous,11,14,-3,25
october,10,7,3,17
americas,10,9,1,19
holiday,10,12,-2,22
world,10,9,1,19
people,8,8,0,16
states,8,11,-3,19
brazil,8,0,8,8
la,7,9,-2,16
christopher,7,9,-2,16
arrival,6,4,2,10
celebrate,6,4,2,10
spanish,6,6,0,12
statue,6,5,1,11
calendar,6,6,0,12
america,6,7,-1,13
celebrates,6,5,1,11
12,6,6,0,12
1492,5,5,0,10
celebrated,5,4,1,9
día,5,8,-3,13
native,5,5,0,10
explorer,5,4,1,9
government,4,4,0,8
italian,4,6,-2,10
walk,4,5,-1,9
united,4,6,-2,10
gregorian,4,4,0,8
colombo,4,4,0,8
peoples,4,5,-1,9
countries,4,5,-1,9
di,4,3,1,7
state,4,2,2,6
cristoforo,4,3,1,7
officially,4,3,1,7
began,4,3,1,7
country,4,1,3,5
known,4,4,0,8
years,4,2,2,6
santa,3,3,0,6
california,3,4,-1,7
500,3,1,2,4
americans,3,4,-1,7
south,3,2,1,5
took,3,3,0,6
discovery,3,3,0,6
american,3,3,0,6
april,3,0,3,3
women,3,3,0,6
erikson,3,4,-1,7
portuguese,3,0,3,3
instead,3,3,0,6
official,3,3,0,6
pedro,3,0,3,3
del,3,4,-1,7
proclamation,3,7,-4,10
culture,3,3,0,6
national,3,5,-2,8
history,3,2,1,5
celebration,3,4,-1,7
crew,3,3,0,6
nevada,3,3,0,6
giornata,3,2,1,5
prior,2,2,0,4
perú,2,2,0,4
replaced,2,2,0,4
paseo,2,2,0,4
resistence,2,2,0,4
leif,2,3,-1,5
exchange,2,2,0,4
2004,2,0,2,2
renamed,2,3,-1,5
including,2,4,-2,6
cabral,2,0,2,2
discover,2,2,0,4
proclaimed,2,1,1,3
initiated,2,2,0,4
22,2,0,2,2
21,2,2,0,4
sail,2,2,0,4
old,2,2,0,4
transfer,2,2,0,4
landing,2,1,1,3
iowa,2,2,0,4
did,2,3,-1,5
cultural,2,2,0,4
recognition,2,3,-1,5
los,2,5,-3,7
aka,2,2,0,4
natives,2,2,0,4
died,2,2,0,4
julian,2,2,0,4
1980,2,2,0,4
president,2,3,-1,5
tribe,2,2,0,4
niña,2,2,0,4
13,2,0,2,2
venezuelan,2,1,1,3
recognize,2,1,1,3
search,2,2,0,4
ii,2,0,2,2
plants,2,2,0,4
maría,2,2,0,4
columbian,2,2,0,4
example,2,4,-2,6
hawaii,2,2,0,4
mexico,2,4,-2,6
ocean,2,2,0,4
1998,2,0,2,2
human,2,2,0,4
pee,2,2,0,4
year,2,3,-1,5
saddam,2,0,2,2
century,2,2,0,4
2018,2,2,0,4
set,2,2,0,4
angeles,2,3,-1,5
left,2,2,0,4
atlantic,2,2,0,4
introduced,2,2,0,4
dates,2,2,0,4
1582,2,2,0,4
nazionale,2,2,0,4
months,2,2,0,4
populations,2,2,0,4
time,2,3,-1,5
cities,2,3,-1,5
alaska,2,2,0,4
approximately,2,2,0,4
murders,2,2,0,4
innocent,2,2,0,4
discoverers,2,1,1,3
adoption,2,2,0,4
oregon,2,2,0,4
animals,2,2,0,4
dakota,2,2,0,4
voyage,2,2,0,4
pinta,2,2,0,4
proleptic,2,2,0,4
person,2,2,0,4
removed,2,2,0,4
extends,2,2,0,4
anniversary,2,3,-1,5
route,2,2,0,4
minnesota,2,2,0,4
technology,2,2,0,4
236,2,2,0,4
faster,2,2,0,4
lives,2,2,0,4
ships,2,2,0,4
fleet,2,0,2,2
observance,2,3,-1,5
veterans,1,1,0,2
decimated,1,1,0,2
june,1,0,1,1
used,1,0,1,1
authorized,1,1,0,2
designate,1,1,0,2
honolulu,1,0,1,1
declared,1,2,-1,3
respeto,1,1,0,2
met,1,0,1,1
boat,1,1,0,2
refer,1,1,0,2
amazing,1,1,0,2
suit,1,2,-1,3
mary,1,0,1,1
oklahoma,1,1,0,2
tyrant,1,0,1,1
credit,1,1,0,2
álvares,1,0,1,1
images,1,1,0,2
tribal,1,1,0,2
western,1,1,0,2
hi,1,1,0,2
level,1,2,-1,3
maniac,1,1,0,2
gay,1,1,0,2
hero,1,1,0,2
paul,1,1,0,2
nacional,1,1,0,2
section,1,1,0,2
giving,1,0,1,1
event,1,0,1,1
thewishes4u,1,1,0,2
controlled,1,1,0,2
bot,1,1,0,2
gilio,1,1,0,2
1937,1,1,0,2
considered,1,1,0,2
champion,1,1,0,2
international,1,1,0,2
thats,1,1,0,2
cristina,1,1,0,2
mass,1,1,0,2
argentina,1,1,0,2
definitive,1,0,1,1
rape,1,1,0,2
belize,1,1,0,2
een,1,1,0,2
kill,1,1,0,2
venezuela,1,0,1,1
school,1,1,0,2
ed,1,0,1,1
descobrimento,1,0,1,1
community,1,2,-1,3
result,1,1,0,2
bahamas,1,1,0,2
indians,1,1,0,2
hole,1,1,0,2
dayof,1,0,1,1
austin,1,1,0,2
genocide,1,0,1,1
ortiz,1,1,0,2
ps,1,1,0,2
lack,1,2,-1,3
11,1,2,-1,3
white,1,1,0,2
portland,1,1,0,2
nos,1,0,1,1
fe,1,1,0,2
rafael,1,3,-2,4
maintaining,1,1,0,2
latin,1,1,0,2
case,1,2,-1,3
yall,1,1,0,2
attempt,1,1,0,2
diverse,1,0,1,1
originally,1,0,1,1
parts,1,2,-1,3
god,1,1,0,2
genocidal,1,1,0,2
proving,1,0,1,1
emperor,1,0,1,1
las,1,1,0,2
real,1,1,0,2
sense,1,0,1,1
paulo,1,0,1,1
persecution,1,1,0,2
lady,1,1,0,2
resistencia,1,1,0,2
vasoncelos,1,1,0,2
instance,1,1,0,2
vermont,1,1,0,2
monument,1,1,0,2
diversity,1,1,0,2
baghdad,1,0,1,1
dozens,1,1,0,2
previous,1,0,1,1
fakeholiday,1,1,0,2
raped,1,1,0,2
refname,1,1,0,2
formal,1,1,0,2
robin,1,0,1,1
booooooooooooooooooooooooo,1,1,0,2
predominantly,1,2,-1,3
damaged,1,1,0,2
benjamin,1,1,0,2
empire,1,0,1,1
observanceyuui,1,1,0,2
israelites,1,1,0,2
maine,1,2,-1,3
landed,1,1,0,2
viking,1,1,0,2
whitaker,1,1,0,2
violence,1,1,0,2
course,1,1,0,2
july,1,1,0,2
ountries,1,1,0,2
medic,1,1,0,2
defensett,1,1,0,2
2010,1,2,-1,3
caribbean,1,1,0,2
frontpagemag,1,1,0,2
instituted,1,0,1,1
process,1,1,0,2
little,1,1,0,2
adamski,1,0,1,1
hussein,1,0,1,1
francisco,1,1,0,2
celebratory,1,1,0,2
thought,1,1,0,2
colubus,1,1,0,2
endagerment,1,1,0,2
virgen,1,1,0,2
led,1,0,1,1
erick,1,1,0,2
wazzup,1,1,0,2
uavyfbkvgywejh,1,1,0,2
star,1,1,0,2
1584,1,0,1,1
feast,1,1,0,2
hispanidad,1,1,0,2
murderer,1,1,0,2
common,1,0,1,1
original,1,1,0,2
broader,1,1,0,2
seattle,1,1,0,2
chávez,1,0,1,1
shall,1,1,0,2
unknown,1,1,0,2
letras,1,0,1,1
florida,1,1,0,2
scholars,1,0,1,1
1792,1,1,0,2
norwegian,1,1,0,2
patron,1,1,0,2
scandinavian,1,2,-1,3
plan,1,0,1,1
includes,1,2,-1,3
famous,1,0,1,1
spreading,1,1,0,2
extinct,1,1,0,2
kirchner,1,1,0,2
dunbar,1,1,0,2
momom,1,1,0,2
dina,1,1,0,2
dedicated,1,1,0,2
occurred,1,0,1,1
statute,1,2,-1,3
brought,1,1,0,2
fbv,1,1,0,2
1500,1,0,1,1
descent,1,2,-1,3
trader,1,1,0,2
diversidad,1,1,0,2
são,1,0,1,1
religious,1,1,0,2
sate,1,1,0,2
brazilians,1,0,1,1
st,1,1,0,2
captain,1,1,0,2
san,1,1,0,2
bdjecgdycjscvrgcjsmvtycadfcmfyvcukdsagvyagvyu,1,1,0,2
county,1,2,-1,3
end,1,1,0,2
necessity,1,0,1,1
bulletin,1,0,1,1
companhia,1,0,1,1
nineteen,1,0,1,1
wishes,1,1,0,2
festivities,1,0,1,1
republics,1,0,1,1
lief,1,1,0,2
pilar,1,1,0,2
tacoma,1,1,0,2
spain,1,1,0,2
phoenix,1,2,-1,3
brink,1,1,0,2
mankato,1,1,0,2
colomboor,1,0,1,1
cincinnati,1,1,0,2
fiesta,1,1,0,2
descubrimiento,1,2,-1,3
moritz,1,0,1,1
um,1,0,1,1
city,1,1,0,2
defense,1,1,0,2
honoring,1,2,-1,3
man,1,1,0,2
toppled,1,0,1,1
bridge,1,1,0,2
societies,1,1,0,2
know,1,1,0,2
roxanne,1,1,0,2
insults,1,0,1,1
thanksgivingin,1,0,1,1
wisconsin,1,2,-1,3
chapter,1,1,0,2
trópicos,1,0,1,1
condemned,1,1,0,2
presidential,1,2,-1,3
statues,1,1,0,2
caucasians,1,1,0,2
2nd,1,0,1,1
normally,1,1,0,2
wake,1,1,0,2
brasil,1,0,1,1
varies,1,1,0,2
boise,1,1,0,2
italy,1,2,-1,3
outrage,1,1,0,2
weaver,1,1,0,2
mytbs,1,1,0,2
ohio,1,1,0,2
nationalism,1,0,1,1
indigena,1,1,0,2
quotes,1,1,0,2
governors,1,1,0,2
disease,1,1,0,2
purposes,1,1,0,2
honor,1,1,0,2
pro,1,0,1,1
independence,1,1,0,2
toppling,1,0,1,1
paid,1,1,0,2
followed,1,2,-1,3
aporrea,1,0,1,1
conquest,1,1,0,2
called,1,0,1,1
edomites,1,1,0,2
unique,1,0,1,1
slave,1,1,0,2
marked,1,0,1,1
barbas,1,0,1,1
observe,1,3,-2,4
continue,1,1,0,2
monarca,1,0,1,1
fake,1,1,0,2
competes,1,1,0,2
include,1,0,1,1
rapist,1,1,0,2
pulaski,1,1,0,2
land,1,2,-1,3
spectrum,1,1,0,2
resistance,1,1,0,2
portugal,1,0,1,1
present,1,0,1,1
sea,1,1,0,2
true,1,1,0,2
fell,1,0,1,1
embarrassing,1,1,0,2
citizenry,1,0,1,1
coast,1,0,1,1
raza,1,1,0,2
arived,1,1,0,2
didnt,1,1,0,2
1992,1,1,0,2
islands,1,1,0,2
brazilian,1,0,1,1
proclaim,1,1,0,2
november,1,1,0,2
nieto,1,0,1,1
imperador,1,0,1,1
surrounded,1,0,1,1
025,1,1,0,2
various,1,1,0,2
2000,1,0,1,1
influence,1,0,1,1
legal,1,1,0,2
betw,1,1,0,2
concerns,1,2,-1,3
existence,1,0,1,1
adopted,1,1,0,2
current,1,0,1,1
like,1,0,1,1
revised,1,1,0,2
workers,1,1,0,2
evidence,1,0,1,1
colombus,1,1,0,2
berkeley,1,1,0,2
respective,1,1,0,2
claimed,1,0,1,1
actual,1,0,1,1
named,1,1,0,2
idea,1,0,1,1
blowup,1,1,0,2
fernández,1,1,0,2
eschewing,1,2,-1,3
war,1,1,0,2
eschew,1,0,1,1
bloody,1,1,0,2
respect,1,1,0,2
occupying,1,1,0,2
just,1,0,1,1
harrison,1,1,0,2
2008,1,2,-1,3
residents,1,0,1,1
taught,1,1,0,2
finding,1,1,0,2
shores,1,0,1,1
identity,1,0,1,1
washington,1,2,-1,3
das,1,0,1,1
uruguay,1,1,0,2
pedestal,1,1,0,2
resolve,1,1,0,2
2019,1,1,0,2
badly,1,1,0,2
hispanic,1,0,1,1
12th,1,0,1,1
practice,1,2,-1,3
lilia,1,0,1,1
festa,1,1,0,2
20th,1,1,0,2
foster,1,0,1,1
urgency,1,0,1,1
protests,1,0,1,1
saint,1,1,0,2
israel,1,1,0,2
denver,1,1,0,2
list,1,3,-2,4
reduced,1,2,-1,3
requested,1,2,-1,3
today,1,2,-1,3
things,1,1,0,2
schwarcz,1,0,1,1
chosen,1,1,0,2
fled,1,1,0,2
festivity,1,1,0,2
caracas,1,0,1,1
américas,1,1,0,2
reerected,1,1,0,2
navigator,1,1,0,2
aparecida,1,1,0,2
dayon,1,0,1,1
governments,1,1,0,2
race,1,3,-2,4
celebrations,1,1,0,2
murdered,1,2,-1,3
colobus,1,1,0,2
quiet,1,1,0,2
italys,1,1,0,2
14,1,1,0,2
wrote,1,0,1,1
likely,1,0,1,1
decline,1,1,0,2
days,1,1,0,2
1934,1,1,0,2
speaking,1,0,1,1
birthday,0,1,-1,1
regarding,0,1,-1,1
officials,0,1,-1,1
passed,0,1,-1,1
celebrating,0,1,-1,1
committee,0,1,-1,1
dominican,0,1,-1,1
schools,0,1,-1,1
pueblos,0,2,-2,2
inviting,0,1,-1,1
ceremonies,0,1,-1,1
patriot,0,1,-1,1
erected,0,1,-1,1
lighthouse,0,1,-1,1
santo,0,1,-1,1
befitting,0,1,-1,1
tensions,0,1,-1,1
1968,0,1,-1,1
sculptor,0,1,-1,1
thumb,0,1,-1,1
ease,0,1,-1,1
species,0,1,-1,1
gold,0,1,-1,1
cova,0,2,-2,2
thomas,0,1,-1,1
public,0,1,-1,1
stood,0,1,-1,1
américa,0,1,-1,1
diseases,0,1,-1,1
founded,0,1,-1,1
1892,0,1,-1,1
iberoamerican,0,1,-1,1
plinth,0,3,-3,3
diplomatic,0,1,-1,1
statueless,0,1,-1,1
lobbied,0,1,-1,1
occupied,0,1,-1,1
memorials,0,1,-1,1
stating,0,1,-1,1
fittingly,0,1,-1,1
buffalo,0,1,-1,1
wider,0,1,-1,1
making,0,1,-1,1
meaning,0,1,-1,1
jose,0,1,-1,1
similar,0,1,-1,1
appropriate,0,1,-1,1
far,0,1,-1,1
mothers,0,1,-1,1
jefferson,0,1,-1,1
east,0,1,-1,1
leader,0,3,-3,3
efforts,0,1,-1,1
thanksgiving,0,1,-1,1
make,0,1,-1,1
sentiment,0,1,-1,1
calling,0,1,-1,1
language,0,1,-1,1
designating,0,1,-1,1
monuments,0,1,-1,1
1966,0,1,-1,1
book,0,1,-1,1
suitable,0,1,-1,1
españa,0,1,-1,1
hispanicity,0,1,-1,1
successful,0,1,-1,1
display,0,1,-1,1
vasconcelos,0,1,-1,1
churches,0,1,-1,1
placate,0,1,-1,1
guaicaipuro,0,1,-1,1
places,0,1,-1,1
mob,0,1,-1,1
19th,0,1,-1,1
peru,0,3,-3,3
issue,0,1,-1,1
invasive,0,1,-1,1
originarios,0,2,-2,2
immigrants,0,1,-1,1
intercultural,0,4,-4,4
lynching,0,2,-2,2
express,0,1,-1,1
mariano,0,1,-1,1
inspired,0,1,-1,1
federal,0,2,-2,2
activists,0,1,-1,1
ancestors,0,1,-1,1
struggle,0,1,-1,1
effort,0,1,-1,1
orleans,0,1,-1,1
este,0,1,-1,1
ny,0,1,-1,1
incident,0,1,-1,1
buildings,0,1,-1,1
lead,0,1,-1,1
responded,0,1,-1,1
following,0,1,-1,1
flag,0,1,-1,1
lucca,0,1,-1,1
massacre,0,1,-1,1
domingo,0,1,-1,1
diálogo,0,2,-2,2
communicable,0,1,-1,1
upright,0,2,-2,2
el,0,2,-2,2
dialogue,0,2,-2,2
later,0,1,-1,1
2009,0,2,-2,2
republic,0,1,-1,1
