word,times_added,times_removed,net_change,absolute_change
peepeepoopoopeepeepoo,332,332,0,664
colonization,74,58,16,132
fixed,68,68,0,136
peepeepoopoogreat,68,68,0,136
dont,68,68,0,136
pleasepeepeepoo,67,67,0,134
000,65,62,3,127
columbus,64,85,-21,149
ottoman,62,60,2,122
day,59,71,-12,130
americas,58,68,-10,126
american,43,44,-1,87
america,43,43,0,86
indigenous,41,49,-8,90
european,39,52,-13,91
south,35,45,-10,80
thumb,34,39,-5,73
native,32,25,7,57
world,32,27,5,59
new,30,37,-7,67
colonizers,30,18,12,48
colonisation,30,49,-19,79
people,29,29,0,58
spanish,28,32,-4,60
peoples,25,27,-2,52
colonial,24,23,1,47
million,24,24,0,48
colonialism,23,31,-8,54
137,23,0,23,23
civilizations,22,14,8,36
colonized,22,14,8,36
europeans,21,17,4,38
states,21,25,-4,46
islands,21,23,-2,44
colonies,20,25,-5,45
empire,20,26,-6,46
christopher,19,22,-3,41
italian,19,22,-3,41
united,18,23,-5,41
ethnic,17,10,7,27
1492,17,18,-1,35
africa,17,21,-4,38
north,17,24,-7,41
discovery,17,17,0,34
americans,17,15,2,32
colonisers,17,29,-12,46
groups,17,7,10,24
settlement,16,16,0,32
canada,16,17,-1,33
colonizing,16,10,6,26
began,15,16,-1,31
history,15,21,-6,36
century,15,18,-3,33
norse,15,15,0,30
holiday,14,17,-3,31
civilization,14,8,6,22
decolonization,14,7,7,21
europe,14,19,-5,33
12,14,13,1,27
explorer,14,13,1,27
civilisations,14,22,-8,36
voyages,13,15,-2,28
category,13,10,3,23
spain,13,13,0,26
brazil,13,5,8,18
western,13,19,-6,32
october,13,11,2,24
caribbean,12,14,-2,26
population,12,13,-1,25
known,12,11,1,23
conquest,12,14,-2,26
trade,11,12,-1,23
land,11,12,-1,23
colonised,11,18,-7,29
site,10,10,0,20
cuba,10,7,3,17
used,10,8,2,18
portuguese,10,11,-1,21
contact,10,9,1,19
greenland,10,10,0,20
california,10,15,-5,25
countries,10,13,-3,23
ebola,10,10,0,20
country,10,9,1,19
political,10,10,0,20
colonising,9,15,-6,24
continents,9,8,1,17
ii,9,7,2,16
hispaniola,9,9,0,18
press,9,9,0,18
la,9,12,-3,21
french,9,11,-2,20
indians,9,8,1,17
control,9,11,-2,20
powers,9,12,-3,21
right,9,7,2,16
large,8,8,0,16
empires,8,3,5,11
columbian,8,7,1,15
state,8,10,-2,18
colonize,8,6,2,14
colony,8,12,-4,20
evidence,8,8,0,16
civilisation,8,14,-6,22
com,8,6,2,14
mexico,8,11,-3,19
populations,8,8,0,16
arrival,8,5,3,13
year,8,9,-1,17
established,8,9,-1,17
map,8,6,2,14
500,8,6,2,14
route,8,7,1,15
central,8,9,-1,17
decolonisation,8,16,-8,24
university,8,12,-4,20
island,8,9,-1,17
societies,7,9,-2,16
landed,7,7,0,14
pre,7,6,1,13
expedition,7,8,-1,15
african,7,6,1,13
reached,7,8,-1,15
dutch,7,7,0,14
coast,7,7,0,14
military,7,5,2,12
chile,7,8,-1,15
km,7,4,3,11
indian,7,11,-4,18
various,7,5,2,12
spaniards,7,6,1,13
died,7,9,-2,16
discovered,7,7,0,14
southern,7,7,0,14
headed,7,7,0,14
introduced,7,6,1,13
called,7,7,0,14
territory,7,3,4,10
war,7,7,0,14
including,6,7,-1,13
oceanic,6,6,0,12
modernization,6,4,2,10
voyage,6,7,-1,13
latin,6,6,0,12
natives,6,5,1,11
meadows,6,6,0,12
erikson,6,7,-1,13
place,6,6,0,12
alaska,6,5,1,11
like,6,8,-2,14
center,6,4,2,10
celebrate,6,4,2,10
genocide,6,4,2,10
modernisation,6,6,0,12
aux,6,6,0,12
east,6,10,-4,16
settler,6,7,-1,13
syria,6,4,2,10
scholars,6,5,1,11
trans,6,7,-1,13
northern,6,5,1,11
using,6,6,0,12
rica,6,6,0,12
celebrates,6,5,1,11
panama,6,6,0,12
rico,6,6,0,12
period,6,6,0,12
puerto,6,6,0,12
statue,6,5,1,11
years,6,7,-1,13
anse,6,6,0,12
arabia,6,6,0,12
systematic,6,6,0,12
calendar,6,6,0,12
late,6,5,1,11
costa,6,6,0,12
saint,6,6,0,12
leif,5,6,-1,11
imperial,5,3,2,8
newfoundland,5,7,-2,12
practices,5,5,0,10
settlers,5,4,1,9
later,5,6,-1,11
prior,5,4,1,9
largely,5,4,1,9
areas,5,6,-1,11
nations,5,6,-1,11
algeria,5,4,1,9
self,5,5,0,10
opening,5,4,1,9
left,5,5,0,10
2006,5,8,-3,13
neighboring,5,3,2,8
characterized,5,3,2,8
dependencies,5,6,-1,11
building,5,6,-1,11
theory,5,4,1,9
maintain,5,4,1,9
serbia,5,4,1,9
celebrated,5,7,-2,12
cultural,5,6,-1,11
texas,5,8,-3,13
scale,5,6,-1,11
city,5,4,1,9
disease,5,4,1,9
dominica,5,3,2,8
70,5,4,1,9
national,5,7,-2,12
opportunities,5,4,1,9
early,5,3,2,8
far,5,6,-1,11
australia,5,9,-4,14
concept,5,3,2,8
second,5,4,1,9
culture,5,4,1,9
bahamas,5,4,1,9
july,5,5,0,10
april,5,5,0,10
atlantic,5,6,-1,11
jerusalem,5,11,-6,16
oop,5,5,0,10
territories,5,8,-3,13
día,5,8,-3,13
search,5,5,0,10
british,5,14,-9,19
theories,5,4,1,9
present,5,4,1,9
majority,5,3,2,8
government,5,5,0,10
neocolonialism,5,6,-1,11
independence,5,5,0,10
2008,5,4,1,9
millions,5,4,1,9
2004,4,2,2,6
establishment,4,4,0,8
22,4,2,2,6
imperialism,4,7,-3,11
experiences,4,4,0,8
thought,4,3,1,7
led,4,2,2,6
di,4,3,1,7
guatemala,4,4,0,8
peru,4,8,-4,12
agreement,4,4,0,8
languages,4,4,0,8
interests,4,4,0,8
princeton,4,4,0,8
gregorian,4,4,0,8
migrated,4,4,0,8
2010,4,5,-1,9
florida,4,5,-1,9
organization,4,2,2,6
describes,4,4,0,8
expansion,4,2,2,6
remains,4,5,-1,9
hart,4,5,-1,9
estimated,4,3,1,7
society,4,9,-5,13
bolivia,4,4,0,8
93,4,3,1,7
discover,4,4,0,8
library,4,6,-2,10
white,4,6,-2,10
took,4,4,0,8
vikings,4,4,0,8
religious,4,3,1,7
infobox,4,4,0,8
20,4,3,1,7
walk,4,5,-1,9
2005,4,5,-1,9
belize,4,4,0,8
discoveries,4,4,0,8
labor,4,6,-2,10
colombo,4,5,-1,9
palestine,4,3,1,7
west,4,5,-1,9
disastrous,4,5,-1,9
georgia,4,4,0,8
2019,4,11,-7,15
celebration,4,5,-1,9
cia,4,3,1,7
permanent,4,5,-1,9
foreign,4,3,1,7
legitimizing,4,2,2,6
19,4,4,0,8
hawaii,4,4,0,8
examples,4,4,0,8
followed,4,7,-3,11
official,4,4,0,8
200,4,3,1,7
john,4,3,1,7
word,4,3,1,7
celade,4,4,0,8
israel,4,3,1,7
upright,4,10,-6,14
unesco,4,4,0,8
13,4,3,1,7
process,4,3,1,7
exploration,4,6,-2,10
cristoforo,4,3,1,7
officially,4,3,1,7
favored,4,2,2,6
time,4,5,-1,9
fell,4,3,1,7
factbook,4,3,1,7
sailed,4,4,0,8
race,4,6,-2,10
tunisia,4,4,0,8
studies,4,11,-7,15
notable,4,3,1,7
mass,4,3,1,7
thomas,4,7,-3,11
regarded,4,3,1,7
archaeological,4,4,0,8
came,4,4,0,8
colombia,4,4,0,8
paraguay,4,6,-2,10
census,4,4,0,8
attempted,4,4,0,8
indies,4,2,2,6
hi,4,4,0,8
1922,4,5,-1,9
1914,4,2,2,6
1960,4,4,0,8
80,4,3,1,7
carib,4,1,3,5
named,4,4,0,8
identified,4,4,0,8
conquistadors,4,4,0,8
group,4,4,0,8
perú,3,3,0,6
1794,3,3,0,6
behalf,3,3,0,6
determination,3,3,0,6
marching,3,3,0,6
ref25,3,3,0,6
carbon,3,3,0,6
grenadines,3,3,0,6
comparative,3,7,-4,10
ref27,3,3,0,6
religion,3,3,0,6
amerindians,3,1,2,4
ocean,3,4,-1,7
1918,3,3,0,6
means,3,3,0,6
continue,3,3,0,6
effects,3,6,-3,9
india,3,4,-1,7
england,3,4,-1,7
dakota,3,4,-1,7
viewed,3,4,-1,7
ref26,3,3,0,6
nevada,3,3,0,6
fought,3,4,-1,7
santa,3,3,0,6
accepted,3,3,0,6
conquistador,3,3,0,6
did,3,5,-2,8
baghdad,3,1,2,4
conflicts,3,1,2,4
viable,3,2,1,5
bulgaria,3,3,0,6
brattahlíð,3,3,0,6
possible,3,3,0,6
socialist,3,3,0,6
550,3,3,0,6
bishop,3,3,0,6
graham,3,3,0,6
journal,3,6,-3,9
pedro,3,0,3,3
guiana,3,2,1,5
del,3,5,-2,8
rationalisation,3,3,0,6
eurocentric,3,2,1,5
pop28,3,3,0,6
giornata,3,2,1,5
generally,3,3,0,6
tip,3,3,0,6
pop27,3,3,0,6
herzegovina,3,3,0,6
dating,3,3,0,6
existing,3,3,0,6
thousands,3,3,0,6
international,3,4,-1,7
taino,3,3,0,6
cabot,3,3,0,6
populated,3,3,0,6
slaves,3,0,3,3
style,3,3,0,6
armies,3,2,1,5
10th,3,3,0,6
soon,3,3,0,6
crete,3,3,0,6
saw,3,2,1,5
1050,3,3,0,6
1497,3,3,0,6
colonise,3,5,-2,8
parliament,3,3,0,6
ran,3,3,0,6
research,3,2,1,5
slave,3,2,1,5
aground,3,3,0,6
vinland,3,3,0,6
1517,3,3,0,6
portugal,3,2,1,5
orkney,3,3,0,6
ce,3,3,0,6
heritage,3,3,0,6
tobago,3,4,-1,7
troops,3,3,0,6
supported,3,3,0,6
honduras,3,3,0,6
argue,3,2,1,5
refer,3,4,-1,7
