word,times_added,times_removed,net_change,absolute_change,survival_fraction
dynasty,2,0,2,2,1.0
host,1,0,1,1,1.0
progress,1,0,1,1,1.0
festivities,2,0,2,2,1.0
da,2,0,2,2,1.0
fleet,2,0,2,2,1.0
single,2,0,2,2,1.0
opposed,1,0,1,1,1.0
thälmann,1,0,1,1,1.0
bulletin,1,0,1,1,1.0
presently,1,0,1,1,1.0
genres,1,0,1,1,1.0
consist,1,0,1,1,1.0
insults,1,0,1,1,1.0
2nd,1,0,1,1,1.0
christoffarime,1,0,1,1,1.0
red,1,0,1,1,1.0
colonialists,1,0,1,1,1.0
content,1,0,1,1,1.0
oct,2,0,2,2,1.0
uaf,2,0,2,2,1.0
emphasize,1,0,1,1,1.0
32,1,0,1,1,1.0
met,1,0,1,1,1.0
silvia,1,0,1,1,1.0
archetypal,1,0,1,1,1.0
event,1,0,1,1,1.0
indegenous,1,0,1,1,1.0
exacerbated,1,0,1,1,1.0
definitive,1,0,1,1,1.0
addition,1,0,1,1,1.0
zaragoza,1,0,1,1,1.0
letras,1,0,1,1,1.0
associated,2,0,2,2,1.0
news,2,0,2,2,1.0
crown,2,0,2,2,1.0
18th,2,0,2,2,1.0
xq1a,1,0,1,1,1.0
cisplatina,1,0,1,1,1.0
um,1,0,1,1,1.0
5609818,1,0,1,1,1.0
transferring,1,0,1,1,1.0
tuning,1,0,1,1,1.0
last1,1,0,1,1,1.0
hispanic,1,0,1,1,1.0
richard,1,0,1,1,1.0
97,1,0,1,1,1.0
urgency,1,0,1,1,1.0
looptt,1,0,1,1,1.0
interval,1,0,1,1,1.0
controversies,1,0,1,1,1.0
silva,2,0,2,2,1.0
greek,2,0,2,2,1.0
books,2,0,2,2,1.0
emperor,1,0,1,1,1.0
1942,1,0,1,1,1.0
paulo,1,0,1,1,1.0
monophonic,1,0,1,1,1.0
googlebookgouda,1,0,1,1,1.0
length,1,0,1,1,1.0
correctness,1,0,1,1,1.0
1584,1,0,1,1,1.0
chávez,1,0,1,1,1.0
liberationnews,1,0,1,1,1.0
shared,1,0,1,1,1.0
fairbankshttps,1,0,1,1,1.0
woman,1,0,1,1,1.0
29,1,0,1,1,1.0
480,1,0,1,1,1.0
ernst,1,0,1,1,1.0
38,1,0,1,1,1.0
álvares,1,0,1,1,1.0
giving,1,0,1,1,1.0
ventures,1,0,1,1,1.0
author,1,0,1,1,1.0
dayof,1,0,1,1,1.0
depends,1,0,1,1,1.0
instrument,1,0,1,1,1.0
altaians,2,0,2,2,1.0
saddam,2,0,2,2,1.0
step,2,0,2,2,1.0
ottomans,1,0,1,1,1.0
proposals,1,0,1,1,1.0
nn6g,1,0,1,1,1.0
first1,1,0,1,1,1.0
tuscan,1,0,1,1,1.0
tyrant,1,0,1,1,1.0
taínos,1,0,1,1,1.0
firearms,1,0,1,1,1.0
finger,1,0,1,1,1.0
separated,1,0,1,1,1.0
resistances,1,0,1,1,1.0
existence,1,0,1,1,1.0
subclades,1,0,1,1,1.0
idea,1,0,1,1,1.0
accountancy,1,0,1,1,1.0
eschew,1,0,1,1,1.0
link1,1,0,1,1,1.0
washingtonhttps,1,0,1,1,1.0
documented,1,0,1,1,1.0
manuel,1,0,1,1,1.0
soldier,1,0,1,1,1.0
foster,1,0,1,1,1.0
mother,1,0,1,1,1.0
dias,1,0,1,1,1.0
plan,1,0,1,1,1.0
included,1,0,1,1,1.0
practically,1,0,1,1,1.0
members,1,0,1,1,1.0
high,1,0,1,1,1.0
suspected,1,0,1,1,1.0
amputated,1,0,1,1,1.0
tiến,1,0,1,1,1.0
come,1,0,1,1,1.0
thanksgivingin,1,0,1,1,1.0
naga,1,0,1,1,1.0
haplogroup,1,0,1,1,1.0
nationalism,1,0,1,1,1.0
dal,1,0,1,1,1.0
dynastic,1,0,1,1,1.0
florentine,1,0,1,1,1.0
lobbying,1,0,1,1,1.0
music,1,0,1,1,1.0
sahib,1,0,1,1,1.0
pullman,1,0,1,1,1.0
23,1,0,1,1,1.0
decreasing,1,0,1,1,1.0
1750,1,0,1,1,1.0
islamic,1,0,1,1,1.0
vectors,1,0,1,1,1.0
01,1,0,1,1,1.0
treaties,1,0,1,1,1.0
metropolis,1,0,1,1,1.0
records,1,0,1,1,1.0
nos,1,0,1,1,1.0
corresponded,1,0,1,1,1.0
way,1,0,1,1,1.0
82,1,0,1,1,1.0
equinox,1,0,1,1,1.0
xr1a,1,0,1,1,1.0
flutes,1,0,1,1,1.0
slang,1,0,1,1,1.0
são,1,0,1,1,1.0
demythologizing,1,0,1,1,1.0
feasibility,1,0,1,1,1.0
credited,1,0,1,1,1.0
finally,1,0,1,1,1.0
brasil,1,0,1,1,1.0
germany,1,0,1,1,1.0
caetera,1,0,1,1,1.0
significantly,1,0,1,1,1.0
shores,1,0,1,1,1.0
castille,1,0,1,1,1.0
das,1,0,1,1,1.0
epidemic,1,0,1,1,1.0
possessed,1,0,1,1,1.0
qamutik,1,0,1,1,1.0
observed,1,0,1,1,1.0
bosma,1,0,1,1,1.0
hand,1,0,1,1,1.0
characteristics,1,0,1,1,1.0
previous,1,0,1,1,1.0
robin,1,0,1,1,1.0
newsok,1,0,1,1,1.0
contributing,1,0,1,1,1.0
hypothesized,1,0,1,1,1.0
ended,1,0,1,1,1.0
stringed,1,0,1,1,1.0
occurred,1,0,1,1,1.0
68,1,0,1,1,1.0
brazilians,1,0,1,1,1.0
xinjiang,1,0,1,1,1.0
role,1,0,1,1,1.0
necessity,1,0,1,1,1.0
