date,total_edits
2022-01-31 00:00:00+00:00,47
2022-02-28 00:00:00+00:00,23
2022-03-31 00:00:00+00:00,20
2022-04-30 00:00:00+00:00,29
2022-05-31 00:00:00+00:00,33
2022-06-30 00:00:00+00:00,31
2022-07-31 00:00:00+00:00,31
2022-08-31 00:00:00+00:00,46
2022-09-30 00:00:00+00:00,75
2022-10-31 00:00:00+00:00,45
2022-11-30 00:00:00+00:00,36
2022-12-31 00:00:00+00:00,28
2023-01-31 00:00:00+00:00,29
2023-02-28 00:00:00+00:00,54
2023-03-31 00:00:00+00:00,48
2023-04-30 00:00:00+00:00,73
2023-05-31 00:00:00+00:00,68
2023-06-30 00:00:00+00:00,71
2023-07-31 00:00:00+00:00,90
2023-08-31 00:00:00+00:00,90
2023-09-30 00:00:00+00:00,116
2023-10-31 00:00:00+00:00,33
2023-11-30 00:00:00+00:00,49
2023-12-31 00:00:00+00:00,68
