word,times_added,times_removed,net_change,absolute_change
wikipedia,235,235,0,470
wiki,233,233,0,466
en,233,233,0,466
christopher_columbushttps,232,232,0,464
colonies,107,122,-15,229
european,87,93,-6,180
colonial,84,97,-13,181
colonialism,77,89,-12,166
empire,68,74,-6,142
world,52,54,-2,106
islands,48,63,-15,111
british,47,52,-5,99
people,41,44,-3,85
thumb,40,52,-12,92
population,38,38,0,76
french,38,42,-4,80
africa,37,41,-4,78
new,36,43,-7,79
dutch,30,36,-6,66
chilean,29,31,-2,60
groups,29,29,0,58
ethnic,28,28,0,56
history,28,26,2,54
political,27,29,-2,56
island,26,34,-8,60
imperialism,25,28,-3,53
india,25,26,-1,51
factbook,24,24,0,48
000,23,23,0,46
portuguese,23,25,-2,48
europeans,23,23,0,46
war,23,27,-4,50
trade,22,22,0,44
cia,22,22,0,44
african,21,18,3,39
spanish,21,32,-11,53
century,21,25,-4,46
imperial,20,21,-1,41
territory,20,20,0,40
economic,20,20,0,40
empires,19,20,-1,39
russian,18,20,-2,38
colonization,18,27,-9,45
europe,17,17,0,34
antarctic,17,18,-1,35
states,17,21,-4,38
countries,17,18,-1,35
smallpox,17,16,1,33
independence,17,18,-1,35
easter,17,18,-1,35
south,15,14,1,29
power,15,15,0,30
control,15,17,-2,32
country,15,18,-3,33
settlers,14,14,0,28
america,14,15,-1,29
native,14,14,0,28
german,14,15,-1,29
powers,14,14,0,28
italian,14,20,-6,34
nations,13,12,1,25
colony,13,15,-2,28
institutions,13,13,0,26
east,13,14,-1,27
populations,12,12,0,24
military,12,13,-1,25
cultural,12,14,-2,26
colonizers,12,15,-3,27
asia,12,13,-1,25
peoples,12,12,0,24
right,12,11,1,23
1885,12,12,0,24
including,11,10,1,21
american,11,11,0,22
protectorates,11,14,-3,25
americas,11,12,-1,23
roman,11,12,-1,23
non,11,10,1,21
indentured,11,11,0,22
era,11,10,1,21
geography,11,12,-1,23
exploitation,11,13,-2,24
social,11,12,-1,23
land,11,13,-2,24
time,11,13,-2,24
indies,11,11,0,22
health,10,7,3,17
areas,10,12,-2,22
expansion,10,11,-1,21
white,10,11,-1,21
conquered,10,10,0,20
coast,10,12,-2,22
united,10,10,0,20
ba,10,10,0,20
map,10,11,-1,21
human,10,10,0,20
mother,10,10,0,20
territories,10,10,0,20
servants,10,9,1,19
1914,10,8,2,18
million,10,10,0,20
argentine,9,11,-2,20
pre,9,9,0,18
del,9,10,-1,19
slave,9,10,-1,19
labour,9,6,3,15
north,9,10,-1,19
spread,9,11,-2,20
west,9,10,-1,19
end,9,10,-1,19
development,9,9,0,18
developed,9,9,0,18
women,9,9,0,18
different,9,11,-2,20
falkland,9,11,-2,20
present,9,9,0,18
ottoman,9,10,-1,19
capitalism,9,9,0,18
saint,9,10,-1,19
large,8,10,-2,18
monterey,8,8,0,16
colonists,8,8,0,16
zealand,8,8,0,16
later,8,11,-3,19
used,8,9,-1,17
latin,8,8,0,16
migrated,8,8,0,16
algeria,8,8,0,16
especially,8,7,1,15
france,8,7,1,15
slaves,8,7,1,15
post,8,9,-1,17
chinese,8,7,1,15
period,8,8,0,16
russians,8,8,0,16
19th,8,9,-1,17
general,8,18,-10,26
anglo,8,8,0,16
greek,8,8,0,16
slavery,8,8,0,16
western,8,11,-3,19
diseases,8,9,-1,17
indigenous,8,10,-2,18
dictionary,7,7,0,14
1832,7,9,-2,16
international,7,9,-2,16
systems,7,7,0,14
saw,7,7,0,14
male,7,7,0,14
portugal,7,6,1,13
migration,7,7,0,14
disease,7,7,0,14
decolonization,7,7,0,14
established,7,8,-1,15
belief,7,7,0,14
free,7,7,0,14
conquest,7,8,-1,15
encyclopedia,7,10,-3,17
upright,7,14,-7,21
britain,7,6,1,13
global,7,7,0,14
female,7,7,0,14
metropole,7,8,-1,15
california,7,7,0,14
studies,7,8,-1,15
came,7,7,0,14
colonized,7,10,-3,17
example,7,7,0,14
gender,6,5,1,11
origin,6,6,0,12
online,6,6,0,12
killed,6,6,0,12
policy,6,6,0,12
ii,6,7,-1,13
spain,6,7,-1,13
major,6,6,0,12
like,6,6,0,12
rise,6,6,0,12
canada,6,7,-1,13
religious,6,6,0,12
japanese,6,6,0,12
theory,6,7,-1,13
china,6,7,-1,13
brought,6,5,1,11
australia,6,6,0,12
rule,6,8,-2,14
battle,6,7,-1,13
central,6,6,0,12
zanzibar,6,7,-1,13
process,6,8,-2,14
netherlands,6,7,-1,13
law,6,6,0,12
mainly,6,6,0,12
superiority,6,6,0,12
form,6,6,0,12
centuries,6,6,0,12
kazakhstan,6,6,0,12
policies,6,7,-1,13
danish,6,8,-2,14
late,6,6,0,12
economy,5,5,0,10
1878,5,6,-1,11
thought,5,5,0,10
led,5,5,0,10
belgian,5,6,-1,11
authority,5,5,0,10
category,5,5,0,10
immigration,5,5,0,10
russia,5,5,0,10
gave,5,5,0,10
resources,5,5,0,10
state,5,5,0,10
protectorate,5,6,-1,11
self,5,4,1,9
settlement,5,6,-1,11
overseas,5,5,0,10
place,5,7,-2,12
2006,5,5,0,10
society,5,5,0,10
relationship,5,6,-1,11
london,5,5,0,10
set,5,5,0,10
defined,5,4,1,9
brazil,5,7,-2,12
20,5,5,0,10
caribbean,5,5,0,10
10,5,5,0,10
study,5,7,-2,12
chile,5,6,-1,11
known,5,5,0,10
pay,5,5,0,10
early,5,7,-2,12
1818,5,5,0,10
perspective,5,4,1,9
nation,5,5,0,10
concept,5,6,-1,11
cultures,5,5,0,10
view,5,5,0,10
culture,5,6,-1,11
creation,5,5,0,10
geographical,5,5,0,10
included,5,5,0,10
independent,5,6,-1,11
2011,5,5,0,10
source,5,5,0,10
ancient,5,6,-1,11
based,5,5,0,10
race,5,6,-1,11
day,5,5,0,10
considered,5,4,1,9
1810,5,5,0,10
information,5,5,0,10
lenin,5,5,0,10
terms,5,4,1,9
divided,5,5,0,10
significant,5,5,0,10
colonizing,5,9,-4,14
created,5,5,0,10
syphilis,5,4,1,9
fact,5,5,0,10
guinea,5,6,-1,11
majority,5,6,-1,11
practice,5,5,0,10
local,5,5,0,10
15,5,6,-1,11
1982,5,7,-2,12
traders,5,5,0,10
long,5,4,1,9
creating,5,4,1,9
determination,4,4,0,8
geographers,4,4,0,8
great,4,4,0,8
focused,4,4,0,8
slavs,4,4,0,8
according,4,4,0,8
means,4,4,0,8
batho,4,4,0,8
practices,4,5,-1,9
finland,4,4,0,8
30,4,3,1,7
cuba,4,6,-2,10
tropical,4,6,-2,10
fought,4,4,0,8
republic,4,4,0,8
asian,4,4,0,8
union,4,4,0,8
family,4,5,-1,9
did,4,5,-1,9
helping,4,3,1,7
antarctica,4,6,-2,10
alaska,4,5,-1,9
servitude,4,5,-1,9
guiana,4,4,0,8
existing,4,4,0,8
viceroyalty,4,8,-4,12
1990,4,4,0,8
benefit,4,4,0,8
desierto,4,4,0,8
hong,4,4,0,8
1969,4,4,0,8
mexico,4,4,0,8
colonizer,4,2,2,6
civilization,4,6,-2,10
number,4,5,-1,9
term,4,4,0,8
measles,4,4,0,8
evolution,4,4,0,8
following,4,4,0,8
fort,4,4,0,8
muslim,4,3,1,7
movement,4,4,0,8
citizens,4,4,0,8
osterhammel,4,4,0,8
tierra,4,5,-1,9
retrieved,4,4,0,8
1500,4,4,0,8
language,4,4,0,8
et,4,6,-2,10
book,4,5,-1,9
historical,4,3,1,7
ghana,4,3,1,7
immigrants,4,4,0,8
kenya,4,4,0,8
national,4,3,1,7
modernize,4,3,1,7
boundaries,4,4,0,8
indians,4,4,0,8
foreign,4,6,-2,10
base,4,4,0,8
somalia,4,5,-1,9
swedish,4,8,-4,12
descent,4,4,0,8
conquista,4,4,0,8
decades,4,4,0,8
employer,4,4,0,8
relations,4,4,0,8
various,4,4,0,8
200,4,4,0,8
miniaturadeimagen,4,4,0,8
formed,4,4,0,8
panama,4,5,-1,9
12,4,4,0,8
modern,4,4,0,8
postcolonial,4,3,1,7
crown,4,4,0,8
vaccination,4,4,0,8
approx,4,4,0,8
23,4,4,0,8
1933,4,4,0,8
similar,4,4,0,8
2012,4,4,0,8
patagonia,4,6,-2,10
officially,4,4,0,8
18th,4,5,-1,9
trinidad,4,4,0,8
vol,4,5,-1,9
impact,4,4,0,8
governorate,4,7,-3,11
tunisia,4,5,-1,9
tariff,4,4,0,8
cases,4,4,0,8
english,4,4,0,8
fuego,4,5,-1,9
home,4,4,0,8
formosa,4,7,-3,11
richard,4,4,0,8
literature,4,4,0,8
lands,4,6,-2,10
marambio,4,4,0,8
columbus,4,3,1,7
imposed,4,5,-1,9
anti,4,5,-1,9
80,4,4,0,8
movements,4,4,0,8
work,4,4,0,8
introduced,4,5,-1,9
called,4,4,0,8
wars,4,4,0,8
16th,4,4,0,8
2008,4,5,-1,9
racial,4,4,0,8
derecha,4,4,0,8
capitalist,4,7,-3,11
caused,3,3,0,6
hebrides,3,3,0,6
christmas,3,4,-1,7
advantage,3,3,0,6
dynasty,3,5,-2,8
separation,3,3,0,6
qatar,3,4,-1,7
religion,3,3,0,6
são,3,3,0,6
environmental,3,2,1,5
meant,3,3,0,6
rest,3,3,0,6
barbados,3,3,0,6
peru,3,4,-1,7
viewed,3,3,0,6
interests,3,4,-1,7
prior,3,4,-1,7
committee,3,3,0,6
area,3,3,0,6
greeks,3,4,-1,7
community,3,3,0,6
order,3,4,-1,7
natives,3,4,-1,7
expense,3,2,1,5
concession,3,3,0,6
civil,3,3,0,6
certain,3,3,0,6
congo,3,3,0,6
barthélemy,3,4,-1,7
determinism,3,2,1,5
bahrain,3,4,-1,7
articles,3,4,-1,7
150,3,3,0,6
men,3,3,0,6
gibraltar,3,3,0,6
press,3,3,0,6
spaces,3,3,0,6
eurasian,3,3,0,6
ireland,3,3,0,6
socio,3,3,0,6
subaltern,3,3,0,6
estimated,3,3,0,6
generally,3,3,0,6
existed,3,2,1,5
destruction,3,3,0,6
inhabitants,3,3,0,6
active,3,2,1,5
dependencies,3,3,0,6
germans,3,3,0,6
direct,3,3,0,6
science,3,4,-1,7
la,3,5,-2,8
mestizos,3,3,0,6
trading,3,5,-2,8
universalism,3,3,0,6
travel,3,3,0,6
goal,3,3,0,6
adopted,3,4,-1,7
commercial,3,3,0,6
historian,3,6,-3,9
tobago,3,3,0,6
swahili,3,4,-1,7
scientific,3,3,0,6
honduras,3,3,0,6
virgin,3,3,0,6
argue,3,4,-1,7
refer,3,3,0,6
seychelles,3,3,0,6
24,3,3,0,6
2005,3,3,0,6
performance,3,3,0,6
japan,3,3,0,6
case,3,3,0,6
size,3,3,0,6
support,3,4,-1,7
developing,3,2,1,5
monopoly,3,3,0,6
scholars,3,4,-1,7
cholera,3,3,0,6
mission,3,3,0,6
specifically,3,3,0,6
polynesia,3,3,0,6
year,3,4,-1,7
canary,3,3,0,6
mainz,3,3,0,6
malta,3,3,0,6
aim,3,3,0,6
25,3,3,0,6
1989,3,2,1,5
70,3,3,0,6
2003,3,4,-1,7
cartographers,3,3,0,6
eds,3,5,-2,8
tajikistan,3,3,0,6
associated,3,3,0,6
africans,3,3,0,6
body,3,3,0,6
minority,3,4,-1,7
