word,times_added,times_removed,net_change,absolute_change
day,500,487,13,987
columbus,388,392,-4,780
holiday,146,144,2,290
states,134,134,0,268
american,125,121,4,246
la,124,130,-6,254
october,98,98,0,196
celebrated,98,98,0,196
día,96,96,0,192
indigenous,96,91,5,187
united,91,92,-1,183
spain,84,79,5,163
celebration,80,82,-2,162
americas,78,79,-1,157
native,77,75,2,152
12,71,71,0,142
raza,65,65,0,130
national,54,53,1,107
new,52,59,-7,111
observance,51,50,1,101
colombo,49,49,0,98
peoples,48,42,6,90
latin,46,47,-1,93
americans,46,46,0,92
category,45,44,1,89
state,45,42,3,87
cristoforo,45,45,0,90
celebrate,44,45,-1,89
anniversary,43,43,0,86
people,42,41,1,83
christopher,42,49,-7,91
italian,42,44,-2,86
city,42,40,2,82
brazil,41,40,1,81
history,40,40,0,80
celebrates,39,37,2,76
las,38,40,-2,78
hispanidad,36,36,0,72
hispanic,35,35,0,70
discovery,34,33,1,67
di,34,34,0,68
changed,34,32,2,66
government,34,33,1,67
arrival,34,35,-1,69
celebrations,34,35,-1,69
president,33,36,-3,69
world,33,38,-5,71
cultural,32,30,2,62
resistance,31,31,0,62
2004,30,30,0,60
countries,30,31,-1,61
statue,30,30,0,60
century,30,31,-1,61
official,29,28,1,57
italy,29,29,0,58
york,28,28,0,56
opposition,28,29,-1,57
officially,28,29,-1,57
holidays,27,27,0,54
california,27,25,2,52
fiesta,27,26,1,53
thumb,26,26,0,52
america,26,28,-2,54
del,26,26,0,52
venezuela,26,26,0,52
activists,25,25,0,50
culture,25,25,0,50
observed,25,25,0,50
country,25,25,0,50
known,25,25,0,50
european,24,23,1,47
pedro,24,23,1,47
international,24,25,-1,49
argentina,23,23,0,46
indians,23,22,1,45
spanish,23,24,-1,47
legal,23,22,1,45
monday,22,21,1,43
san,22,22,0,44
years,22,23,-1,45
1992,22,20,2,42
including,21,21,0,42
giornata,21,21,0,42
nazionale,21,21,0,42
decree,21,20,1,41
recognize,20,19,1,39
catholic,20,20,0,40
casas,20,20,0,40
costa,20,20,0,40
established,20,20,0,40
actions,19,16,3,35
massachusetts,19,16,3,35
myths,19,16,3,35
south,19,19,0,38
governor,19,16,3,35
cultures,18,17,1,35
used,18,17,1,35
race,18,19,-1,37
nacional,18,18,0,36
diversity,18,18,0,36
populations,18,18,0,36
1492,18,17,1,35
second,17,15,2,32
replaced,17,17,0,34
landing,17,17,0,34
observances,17,16,1,33
events,17,16,1,33
commemorate,16,14,2,30
religious,16,16,0,32
portuguese,16,16,0,32
wrote,16,14,2,30
original,15,15,0,30
nation,15,17,-2,32
nevada,15,15,0,30
europeans,15,15,0,30
1921,15,15,0,30
13,15,15,0,30
april,15,15,0,30
left,15,15,0,30
2002,15,15,0,30
solomon,15,15,0,30
20th,15,16,-1,31
denver,15,15,0,30
common,15,15,0,30
colombia,15,15,0,30
federal,15,14,1,29
caracas,15,15,0,30
anti,15,15,0,30
year,15,15,0,30
myth,15,15,0,30
feast,14,14,0,28
hawaii,14,13,1,27
various,14,15,-1,29
dakota,14,13,1,27
pillar,14,13,1,27
make,14,13,1,27
organization,14,14,0,28
annual,14,14,0,28
belize,14,14,0,28
lady,14,13,1,27
instead,14,14,0,28
oregon,14,13,1,27
indian,13,12,1,25
influence,13,14,-1,27
council,13,12,1,25
removed,13,14,-1,27
title,13,12,1,25
largest,13,12,1,25
francisco,13,14,-1,27
evidence,13,12,1,25
respect,13,13,0,26
genocide,13,12,1,25
chávez,13,12,1,25
businesses,13,14,-1,27
ohio,13,14,-1,27
declared,13,13,0,26
groups,13,12,1,25
empire,13,13,0,26
pilar,13,13,0,26
communities,13,12,1,25
proclamation,13,12,1,25
fixed,12,10,2,22
public,12,11,1,23
colorado,12,9,3,21
recognition,12,12,0,24
today,12,13,-1,25
western,12,11,1,23
explorer,12,13,-1,25
large,11,12,-1,23
early,11,11,0,22
began,11,13,-2,24
pan,11,11,0,22
celebrating,11,9,2,20
