word,times_added,times_removed,net_change,absolute_change
americas,62,64,-2,126
america,59,59,0,118
european,53,55,-2,108
new,47,51,-4,98
spanish,43,50,-7,93
century,39,37,2,76
american,38,43,-5,81
north,33,36,-3,69
colonies,32,33,-1,65
indigenous,25,26,-1,51
caribbean,23,26,-3,49
norse,22,20,2,42
slaves,22,24,-2,46
1492,22,22,0,44
thumb,21,25,-4,46
columbus,21,22,-1,43
population,21,20,1,41
colonization,21,22,-1,43
people,20,21,-1,41
canada,20,19,1,39
000,19,24,-5,43
present,19,21,-2,40
world,18,19,-1,37
settlement,17,18,-1,35
england,16,15,1,31
spain,16,18,-2,34
native,16,16,0,32
slave,16,20,-4,36
south,16,18,-2,34
kingdom,16,16,0,32
west,16,15,1,31
early,15,15,0,30
voyages,15,15,0,30
later,15,16,-1,31
islands,15,16,-1,31
brazil,15,15,0,30
empire,15,20,-5,35
history,14,15,-1,29
western,14,18,-4,32
french,14,15,-1,29
large,13,14,-1,27
land,13,13,0,26
europeans,13,14,-1,27
greenland,13,13,0,26
colony,13,14,-1,27
united,13,17,-4,30
million,13,13,0,26
trade,13,14,-1,27
known,13,12,1,25
europe,13,14,-1,27
colonial,12,13,-1,25
states,12,16,-4,28
day,12,14,-2,26
populations,12,13,-1,25
contact,12,12,0,24
exchange,12,12,0,24
disease,12,12,0,24
economic,12,12,0,24
newfoundland,11,10,1,21
claimed,11,12,-1,23
columbian,11,11,0,22
france,11,11,0,22
british,11,11,0,22
slavery,11,11,0,22
including,10,10,0,20
conquest,10,11,-1,21
hispaniola,10,11,-1,21
atlantic,10,11,-1,21
control,10,10,0,20
english,10,10,0,20
eastern,10,11,-1,21
peoples,10,10,0,20
founded,10,12,-2,22
mexico,10,12,-2,22
dutch,10,10,0,20
conquered,10,11,-1,21
porn,10,10,0,20
virginia,10,10,0,20
growth,9,9,0,18
settled,9,8,1,17
francisco,9,11,-2,20
period,9,9,0,18
expedition,9,11,-2,20
portugal,9,9,0,18
coast,9,10,-1,19
labor,9,9,0,18
16th,9,9,0,18
power,9,9,0,18
human,8,8,0,16
john,8,9,-1,17
exploration,8,8,0,16
african,8,8,0,16
reached,8,8,0,16
christopher,8,9,-1,17
portuguese,8,10,-2,18
age,8,8,0,16
life,8,8,0,16
eventually,8,8,0,16
historical,8,8,0,16
1815,8,8,0,16
leading,7,7,0,14
indians,7,9,-2,16
led,7,6,1,13
discovery,7,7,0,14
began,7,8,-1,15
site,7,7,0,14
cuba,7,8,-1,15
continents,7,7,0,14
left,7,8,-1,15
puerto,7,9,-2,16
evidence,7,7,0,14
region,7,7,0,14
powers,7,7,0,14
religious,7,6,1,13
east,7,8,-1,15
number,7,7,0,14
laws,7,7,0,14
came,7,7,0,14
colonized,7,7,0,14
lands,7,7,0,14
indies,7,7,0,14
city,7,11,-4,18
1763,7,7,0,14
political,7,7,0,14
established,7,8,-1,15
saint,7,8,-1,15
david,7,7,0,14
settlements,6,5,1,11
colonists,6,6,0,12
treaty,6,6,0,12
oceanic,6,6,0,12
eltis,6,6,0,12
ocean,6,6,0,12
1607,6,6,0,12
1954,6,6,0,12
various,6,4,2,10
enslavement,6,6,0,12
german,6,10,-4,16
forced,6,6,0,12
central,6,5,1,11
scotland,6,5,1,11
died,6,10,-4,16
areas,6,7,-1,13
rico,6,7,-1,13
florida,6,9,-3,15
netherlands,6,6,0,12
50,6,6,0,12
ending,6,7,-1,13
eurasian,6,7,-1,13
changes,6,6,0,12
sint,6,6,0,12
2007,6,6,0,12
james,6,6,0,12
aztecs,6,7,-1,13
set,6,5,1,11
years,6,6,0,12
black,6,6,0,12
following,6,6,0,12
local,6,6,0,12
italian,6,10,-4,16
rate,6,6,0,12
diseases,6,6,0,12
plant,6,6,0,12
year,6,6,0,12
grew,6,6,0,12
era,6,7,-1,13
trans,6,6,0,12
15th,6,6,0,12
small,6,6,0,12
animal,5,5,0,10
natural,5,4,1,9
hernán,5,6,-1,11
transatlantic,5,5,0,10
rapid,5,5,0,10
darien,5,5,0,10
soto,5,8,-3,13
nova,5,5,0,10
louisiana,5,7,-2,12
indian,5,5,0,10
settlers,5,5,0,10
animals,5,5,0,10
culture,5,5,0,10
developed,5,6,-1,11
spaniards,5,8,-3,13
conquistador,5,6,-1,11
landed,5,5,0,10
loss,5,5,0,10
meadows,5,5,0,10
roman,5,6,-1,11
included,5,5,0,10
19th,5,5,0,10
southern,5,5,0,10
institutions,5,5,0,10
territories,5,5,0,10
short,5,5,0,10
cortés,5,6,-1,11
aux,5,5,0,10
servants,5,5,0,10
food,5,5,0,10
landscape,5,5,0,10
fake,5,3,2,8
vinland,5,4,1,9
anse,5,5,0,10
armour,5,6,-1,11
aztec,5,7,-2,12
1513,5,6,-1,11
texas,5,8,-3,13
post,5,5,0,10
scale,5,6,-1,11
work,5,6,-1,11
territorial,5,5,0,10
explorer,5,6,-1,11
sponsored,5,5,0,10
1814,5,5,0,10
charles,5,4,1,9
hemisphere,5,5,0,10
pizarro,5,6,-1,11
wealth,5,5,0,10
governments,5,5,0,10
1794,4,4,0,8
caused,4,4,0,8
dominican,4,5,-1,9
permanent,4,5,-1,9
great,4,4,0,8
1651,4,4,0,8
500,4,6,-2,10
real,4,4,0,8
afro,4,4,0,8
beginning,4,4,0,8
norwegian,4,4,0,8
death,4,4,0,8
1636,4,4,0,8
use,4,4,0,8
captured,4,4,0,8
inhabited,4,6,-2,10
jamestown,4,4,0,8
followed,4,4,0,8
león,4,5,-1,9
1650,4,4,0,8
1760,4,4,0,8
rule,4,3,1,7
languages,4,4,0,8
fought,4,6,-2,10
norway,4,4,0,8
battle,4,6,-2,10
crown,4,4,0,8
americans,4,5,-1,9
1634,4,4,0,8
natives,4,4,0,8
1519,4,5,-1,9
widespread,4,4,0,8
nations,4,4,0,8
núñez,4,5,-1,9
went,4,4,0,8
indentured,4,4,0,8
coastal,4,4,0,8
men,4,5,-1,9
expansion,4,4,0,8
pre,4,4,0,8
time,4,4,0,8
fell,4,6,-2,10
mabila,4,6,-2,10
scheme,4,4,0,8
alabama,4,6,-2,10
guiana,4,6,-2,10
based,4,4,0,8
1665,4,4,0,8
exhibition,4,4,0,8
