word,times_added,times_removed,net_change,absolute_change
indigenous,409,413,-4,822
peoples,209,210,-1,419
native,175,173,2,348
americas,158,159,-1,317
american,136,137,-1,273
population,128,130,-2,258
america,119,118,1,237
people,116,117,-1,233
000,105,108,-3,213
languages,87,87,0,174
thumb,82,82,0,164
groups,74,74,0,148
spanish,66,67,-1,133
indian,65,68,-3,133
americans,65,66,-1,131
north,60,58,2,118
years,60,60,0,120
european,55,57,-2,112
populations,55,55,0,110
bolivia,53,53,0,106
mexico,53,53,0,106
culture,53,55,-2,108
used,50,48,2,98
million,49,51,-2,100
world,47,45,2,92
states,47,49,-2,96
right,46,44,2,90
ethnic,44,45,-1,89
united,44,44,0,88
national,43,43,0,86
south,42,42,0,84
time,42,42,0,84
smallpox,41,43,-2,84
canada,40,41,-1,81
new,40,38,2,78
cultures,40,39,1,79
central,40,40,0,80
language,39,39,0,78
peru,38,37,1,75
including,37,38,-1,75
cultural,37,38,-1,75
country,37,38,-1,75
history,36,35,1,71
indians,35,34,1,69
diseases,35,35,0,70
dna,34,34,0,68
writing,34,35,-1,69
group,34,31,3,65
pre,33,33,0,66
nations,32,33,-1,65
inuit,31,31,0,62
guatemala,29,29,0,58
columbian,29,29,0,58
genetic,29,29,0,58
century,28,30,-2,58
europeans,28,29,-1,57
live,28,28,0,56
tribes,28,28,0,56
present,28,28,0,56
government,28,28,0,56
maya,27,27,0,54
census,27,27,0,54
aboriginal,26,26,0,52
alaska,26,25,1,51
brazil,26,26,0,52
rights,26,26,0,52
ago,24,24,0,48
known,24,24,0,48
early,24,24,0,48
majority,24,24,0,48
el,24,24,0,48
organization,23,23,0,46
contact,23,22,1,45
2005,23,22,1,45
mayan,23,23,0,46
make,23,23,0,46
ecuador,23,23,0,46
large,22,23,-1,45
latin,21,21,0,42
like,21,21,0,42
10,21,22,-1,43
upright,21,35,-14,56
law,21,22,-1,43
region,21,22,-1,43
areas,20,21,-1,41
salvador,20,20,0,40
human,20,20,0,40
day,20,20,0,40
southern,20,20,0,40
countries,20,20,0,40
common,20,20,0,40
include,20,20,0,40
colombia,20,20,0,40
late,20,20,0,40
spoken,19,19,0,38
term,19,19,0,38
ancestry,19,19,0,38
aymara,19,19,0,38
different,19,19,0,38
quechua,19,19,0,38
territory,19,18,1,37
area,18,16,2,34
left,18,19,-1,37
traditional,18,18,0,36
east,18,18,0,36
spread,18,18,0,36
northern,18,18,0,36
based,18,18,0,36
mtdna,18,17,1,35
species,18,18,0,36
great,17,16,1,33
category,17,16,1,33
aztec,17,19,-2,36
era,17,17,0,34
disease,17,16,1,33
500,17,17,0,34
social,17,17,0,34
modern,17,17,0,34
largest,17,18,-1,35
women,17,17,0,34
total,17,17,0,34
regions,17,17,0,34
beringia,16,16,0,32
asian,16,16,0,32
self,16,16,0,32
press,16,15,1,31
remains,16,16,0,32
miskito,16,20,-4,36
coast,16,16,0,32
retrieved,16,13,3,29
identify,16,16,0,32
civilizations,16,16,0,32
developed,16,16,0,32
descendants,16,18,-2,34
2007,16,16,0,32
pipil,16,16,0,32
nicaragua,16,17,-1,33
colonization,16,18,-2,34
called,16,16,0,32
small,16,14,2,30
evidence,15,15,0,30
inhabitants,15,16,-1,31
chile,15,15,0,30
use,15,18,-3,33
agriculture,15,16,-1,31
23,15,15,0,30
13,15,15,0,30
2012,15,14,1,29
old,15,14,1,29
includes,14,14,0,28
according,14,14,0,28
began,14,14,0,28
30,14,12,2,26
continents,14,14,0,28
natives,14,14,0,28
2010,14,13,1,27
mapuche,14,14,0,28
especially,14,13,1,27
recognized,14,14,0,28
speaking,14,14,0,28
art,14,14,0,28
11,14,14,0,28
african,14,14,0,28
land,14,14,0,28
various,14,14,0,28
greenland,14,13,1,27
period,14,14,0,28
amerindian,14,14,0,28
zapotec,14,14,0,28
children,14,14,0,28
state,13,13,0,26
del,13,12,1,25
complex,13,13,0,26
society,13,12,1,25
agricultural,13,13,0,26
historical,13,13,0,26
general,13,13,0,26
arts,13,10,3,23
centuries,13,12,1,25
came,13,13,0,26
western,13,13,0,26
origin,12,12,0,24
health,12,12,0,24
beans,12,12,0,24
2001,12,12,0,24
distinct,12,13,-1,25
non,12,12,0,24
elected,12,12,0,24
20th,12,12,0,24
reported,12,12,0,24
la,12,12,0,24
number,12,12,0,24
percent,12,12,0,24
migration,12,12,0,24
movement,12,12,0,24
siberia,12,12,0,24
study,12,12,0,24
extinct,12,12,0,24
communities,12,12,0,24
development,12,12,0,24
argentina,12,12,0,24
second,12,12,0,24
epidemic,12,12,0,24
12,12,11,1,23
spaniards,12,12,0,24
music,12,12,0,24
documents,12,12,0,24
approximately,12,12,0,24
territories,12,12,0,24
eastern,12,12,0,24
woman,12,12,0,24
mexican,12,12,0,24
initial,12,12,0,24
list,12,13,-1,25
morales,12,12,0,24
lands,12,12,0,24
movements,12,12,0,24
legal,12,12,0,24
political,12,11,1,23
convention,12,12,0,24
amerindians,11,11,0,22
major,11,11,0,22
mestizos,11,11,0,22
civilization,11,11,0,22
speak,11,11,0,22
valley,11,11,0,22
2009,11,9,2,20
arrival,11,11,0,22
empire,11,12,-1,23
belong,11,11,0,22
2003,11,10,1,21
14,11,11,0,22
pueblos,11,10,1,21
nation,11,11,0,22
50,11,12,-1,23
los,11,11,0,22
thousand,11,11,0,22
economic,11,11,0,22
taínos,10,10,0,20
colonists,10,10,0,20
president,10,10,0,20
led,10,10,0,20
societies,10,10,0,20
practices,10,10,0,20
later,10,10,0,20
organizations,10,10,0,20
contemporary,10,10,0,20
international,10,10,0,20
com,10,9,1,19
aztecs,10,10,0,20
laws,10,10,0,20
single,10,10,0,20
sea,10,10,0,20
architecture,10,11,-1,21
incas,10,10,0,20
year,10,10,0,20
mixed,10,10,0,20
70,10,10,0,20
bce,10,10,0,20
ice,10,10,0,20
primary,10,10,0,20
march,10,10,0,20
council,10,10,0,20
numbers,10,11,-1,21
died,10,10,0,20
george,10,8,2,18
ancient,10,9,1,19
tribal,10,10,0,20
border,10,10,0,20
considered,10,10,0,20
english,10,10,0,20
venezuela,10,10,0,20
codices,10,10,0,20
terms,10,10,0,20
significant,10,10,0,20
shared,10,11,-1,21
16,10,10,0,20
island,10,10,0,20
today,10,10,0,20
earliest,10,10,0,20
instruments,10,10,0,20
paleo,10,10,0,20
forum,10,10,0,20
example,10,10,0,20
inca,10,11,-1,21
carib,10,10,0,20
costa,10,10,0,20
dated,10,10,0,20
identified,10,10,0,20
way,9,9,0,18
nahuatl,9,9,0,18
colonial,9,8,1,17
percentage,9,9,0,18
did,9,9,0,18
uncontacted,9,9,0,18
ancestors,9,9,0,18
river,9,8,1,17
scale,9,9,0,18
organized,9,9,0,18
25,9,10,-1,19
speakers,9,9,0,18
specific,9,9,0,18
minority,9,9,0,18
hunting,9,9,0,18
conquest,9,10,-1,19
close,9,10,-1,19
july,9,8,1,17
amazon,9,9,0,18
university,9,9,0,18
basin,9,9,0,18
continent,9,9,0,18
parts,9,9,0,18
90,9,9,0,18
ca,9,9,0,18
passed,8,8,0,16
treaty,8,8,0,16
thought,8,8,0,16
autonomy,8,8,0,16
recent,8,8,0,16
settlers,8,8,0,16
cuba,8,8,0,16
killed,8,8,0,16
syllabic,8,8,0,16
republic,8,8,0,16
ravaged,8,8,0,16
isolation,8,8,0,16
certain,8,8,0,16
living,8,8,0,16
skeleton,8,8,0,16
brazilian,8,8,0,16
2006,8,8,0,16
estimated,8,8,0,16
