word,times_added,times_removed,net_change,absolute_change,survival_fraction
net,1,0,1,1,1.0
sagep,1,0,1,1,1.0
56⅔,1,0,1,1,1.0
nytimes,1,0,1,1,1.0
exception,1,0,1,1,1.0
pdfhttps,1,0,1,1,1.0
nowleagethe,1,0,1,1,1.0
160px,1,0,1,1,1.0
pelagie,1,0,1,1,1.0
forged,1,0,1,1,1.0
swords,1,0,1,1,1.0
eyewitness,1,0,1,1,1.0
rudimentary,1,0,1,1,1.0
senkaku,1,0,1,1,1.0
shining,1,0,1,1,1.0
strongly,1,0,1,1,1.0
pdfs,1,0,1,1,1.0
mercenary,1,0,1,1,1.0
peru_revisado,1,0,1,1,1.0
balearic,1,0,1,1,1.0
documenting,1,0,1,1,1.0
240px,2,0,2,2,1.0
taiwán,1,0,1,1,1.0
novel,1,0,1,1,1.0
info,1,0,1,1,1.0
choice,1,0,1,1,1.0
22native,1,0,1,1,1.0
significance,1,0,1,1,1.0
tharangambadi,1,0,1,1,1.0
mention,1,0,1,1,1.0
1598,1,0,1,1,1.0
spearheaded,1,0,1,1,1.0
circa,1,0,1,1,1.0
timeanddate,1,0,1,1,1.0
hopes,1,0,1,1,1.0
emulate,1,0,1,1,1.0
spherical,1,0,1,1,1.0
rhodes,1,0,1,1,1.0
210px,1,0,1,1,1.0
artillery,1,0,1,1,1.0
170px,1,0,1,1,1.0
interpreted,1,0,1,1,1.0
triggering,1,0,1,1,1.0
spreading,2,0,2,2,1.0
caracterăsticas,1,0,1,1,1.0
pantelleria,1,0,1,1,1.0
invited,1,0,1,1,1.0
centro,1,0,1,1,1.0
designed,1,0,1,1,1.0
lies,1,0,1,1,1.0
exertions,1,0,1,1,1.0
movable,2,0,2,2,1.0
coloniality,1,0,1,1,1.0
bible,1,0,1,1,1.0
paria,1,0,1,1,1.0
stradanus,1,0,1,1,1.0
inexpensive,1,0,1,1,1.0
sky,1,0,1,1,1.0
spiridone,1,0,1,1,1.0
defence,1,0,1,1,1.0
outshone,1,0,1,1,1.0
perfectly,1,0,1,1,1.0
viii,1,0,1,1,1.0
pó,1,0,1,1,1.0
overwork,1,0,1,1,1.0
briefly,1,0,1,1,1.0
1508,2,0,2,2,1.0
enter,1,0,1,1,1.0
fairbanks,1,0,1,1,1.0
erroneously,1,0,1,1,1.0
04,1,0,1,1,1.0
abyssinian,1,0,1,1,1.0
drift,1,0,1,1,1.0
divine,1,0,1,1,1.0
believer,1,0,1,1,1.0
fox13now,1,0,1,1,1.0
insurgent,1,0,1,1,1.0
pear,1,0,1,1,1.0
abandoning,1,0,1,1,1.0
350px,6,0,6,6,1.0
sagas,1,0,1,1,1.0
icelandic,1,0,1,1,1.0
fail,1,0,1,1,1.0
writes,2,0,2,2,1.0
knowledgeable,1,0,1,1,1.0
dissenters,1,0,1,1,1.0
rotation,1,0,1,1,1.0
causes,1,0,1,1,1.0
awakens,1,0,1,1,1.0
remarked,1,0,1,1,1.0
scam,1,0,1,1,1.0
1972thumb,1,0,1,1,1.0
guerrillas,1,0,1,1,1.0
shetlands,1,0,1,1,1.0
designated,1,0,1,1,1.0
fordfoundation,1,0,1,1,1.0
disappearance,1,0,1,1,1.0
socioculturales,1,0,1,1,1.0
unicef,1,0,1,1,1.0
listen,1,0,1,1,1.0
spotted,1,0,1,1,1.0
diurnal,1,0,1,1,1.0
viking,1,0,1,1,1.0
tactical,1,0,1,1,1.0
bulged,1,0,1,1,1.0
rorke,1,0,1,1,1.0
predecessors,1,0,1,1,1.0
vulnerability,1,0,1,1,1.0
alexandria,2,0,2,2,1.0
forefront,1,0,1,1,1.0
150px,3,0,3,3,1.0
mengrelia,1,0,1,1,1.0
inaugurating,1,0,1,1,1.0
indăgenas,1,0,1,1,1.0
discovering,1,0,1,1,1.0
orkneys,1,0,1,1,1.0
coinciding,2,0,2,2,1.0
friars,1,0,1,1,1.0
sailors,1,0,1,1,1.0
pacăfico,1,0,1,1,1.0
aswan,1,0,1,1,1.0
pikes,1,0,1,1,1.0
securing,1,0,1,1,1.0
dumb,1,0,1,1,1.0
partly,1,0,1,1,1.0
ashes,1,0,1,1,1.0
syene,1,0,1,1,1.0
lac,1,0,1,1,1.0
bristol,1,0,1,1,1.0
perished,1,0,1,1,1.0
200px,4,0,4,4,1.0
pint,1,0,1,1,1.0
250px,3,0,3,3,1.0
pueblosindigenaspcn,1,0,1,1,1.0
rushed,1,0,1,1,1.0
lasting,3,1,2,4,0.6666666666666666
pox,5,2,3,7,0.6
74,2,1,1,3,0.5
switched,2,1,1,3,0.5
salt,4,2,2,6,0.5
rivals,2,1,1,3,0.5
transportation,2,1,1,3,0.5
anthropol,2,1,1,3,0.5
exploitable,2,1,1,3,0.5
iliffe,2,1,1,3,0.5
collect,2,1,1,3,0.5
alfred,2,1,1,3,0.5
phys,2,1,1,3,0.5
300px,2,1,1,3,0.5
arriving,2,1,1,3,0.5
geos,2,1,1,3,0.5
phylogeographic,2,1,1,3,0.5
1638,2,1,1,3,0.5
hungry,2,1,1,3,0.5
persecuted,2,1,1,3,0.5
explored,2,1,1,3,0.5
1494,2,1,1,3,0.5
ilthumb,2,1,1,3,0.5
course,2,1,1,3,0.5
height,2,1,1,3,0.5
martinez,2,1,1,3,0.5
structure,2,1,1,3,0.5
cruzado,2,1,1,3,0.5
practise,2,1,1,3,0.5
burma,2,1,1,3,0.5
bring,2,1,1,3,0.5
autumn,4,2,2,6,0.5
turkestan,2,1,1,3,0.5
governorship,2,1,1,3,0.5
institutes,2,1,1,3,0.5
modelled,2,1,1,3,0.5
iberian,2,1,1,3,0.5
words,2,1,1,3,0.5
accused,2,1,1,3,0.5
westport,2,1,1,3,0.5
sanders,2,1,1,3,0.5
exploiting,2,1,1,3,0.5
look,2,1,1,3,0.5
metal,2,1,1,3,0.5
homes,2,1,1,3,0.5
mx,2,1,1,3,0.5
livescience,2,1,1,3,0.5
sailing,2,1,1,3,0.5
publications,2,1,1,3,0.5
1495,4,2,2,6,0.5
mines,2,1,1,3,0.5
165,2,1,1,3,0.5
intended,5,3,2,8,0.4
rio,5,3,2,8,0.4
fake,5,3,2,8,0.4
notes,5,3,2,8,0.4
claiming,5,3,2,8,0.4
believe,5,3,2,8,0.4
sailed,3,2,1,5,0.3333333333333333
instigated,3,2,1,5,0.3333333333333333
