word,times_added,times_removed,net_change,absolute_change
ottoman,62,60,2,122
colonization,50,28,22,78
colonisation,30,49,-19,79
colonizers,29,17,12,46
colonial,24,22,2,46
colonialism,23,31,-8,54
civilizations,22,14,8,36
colonized,22,14,8,36
colonies,20,24,-4,44
colonisers,17,29,-12,46
south,17,21,-4,38
colonizing,16,10,6,26
islands,15,16,-1,31
civilization,14,8,6,22
decolonization,14,7,7,21
civilisations,14,22,-8,36
thumb,13,18,-5,31
africa,12,17,-5,29
empire,12,18,-6,30
colonised,11,18,-7,29
world,11,7,4,18
000,10,10,0,20
colonising,9,15,-6,24
right,9,7,2,16
land,8,9,-1,17
press,8,8,0,16
civilisation,8,14,-6,22
decolonisation,8,16,-8,24
trade,8,9,-1,17
university,7,6,1,13
military,7,5,2,12
european,6,6,0,12
people,6,4,2,10
modernization,6,4,2,10
europeans,6,5,1,11
empires,6,1,5,7
center,6,4,2,10
modernisation,6,6,0,12
canada,6,6,0,12
island,6,9,-3,15
arabia,6,6,0,12
settler,6,7,-1,13
syria,6,4,2,10
new,6,9,-3,15
europe,6,7,-1,13
imperial,5,3,2,8
early,5,2,3,7
australia,5,9,-4,14
settlers,5,4,1,9
concept,5,3,2,8
second,5,4,1,9
used,5,6,-1,11
algeria,5,4,1,9
ii,5,5,0,10
colonize,5,3,2,8
neighboring,5,3,2,8
territories,5,7,-2,12
dependencies,5,6,-1,11
dutch,5,5,0,10
country,5,7,-2,12
serbia,5,4,1,9
neocolonialism,5,6,-1,11
territory,5,3,2,8
political,5,6,-1,11
war,5,4,1,9
opportunities,5,4,1,9
map,4,1,3,5
foreign,4,3,1,7
imperialism,4,7,-3,11
legitimizing,4,2,2,6
american,4,4,0,8
examples,4,4,0,8
agreement,4,4,0,8
princeton,4,4,0,8
largely,4,4,0,8
migrated,4,4,0,8
self,4,4,0,8
organization,4,2,2,6
opening,4,3,1,7
expansion,4,2,2,6
favored,4,2,2,6
pre,4,3,1,7
tunisia,4,4,0,8
characterized,4,2,2,6
african,4,3,1,7
countries,4,3,1,7
regarded,4,3,1,7
theory,4,3,1,7
majority,4,3,1,7
history,4,7,-3,11
1914,4,2,2,6
labor,4,2,2,6
palestine,4,3,1,7
scholars,4,3,1,7
chile,4,5,-1,9
century,4,6,-2,10
introduced,4,3,1,7
french,4,5,-1,9
determination,3,3,0,6
marching,3,3,0,6
noting,3,2,1,5
minority,3,2,1,5
egypt,3,3,0,6
victoria,3,4,-1,7
religion,3,3,0,6
1918,3,3,0,6
means,3,3,0,6
societies,3,4,-1,7
iraq,3,3,0,6
practices,3,3,0,6
using,3,2,1,5
bosnia,3,3,0,6
german,3,2,1,5
interests,3,4,-1,7
israel,3,2,1,5
panama,3,3,0,6
prior,3,2,1,5
nations,3,3,0,6
dehumanize,3,2,1,5
process,3,2,1,5
bulgaria,3,3,0,6
period,3,2,1,5
left,3,2,1,5
19th,3,1,2,4
states,3,4,-1,7
place,3,3,0,6
graham,3,3,0,6
like,3,4,-1,7
rationalisation,3,3,0,6
eurocentric,3,2,1,5
generally,3,3,0,6
race,3,3,0,6
aleppo,3,3,0,6
herzegovina,3,3,0,6
control,3,4,-1,7
powers,3,6,-3,9
existing,3,3,0,6
california,3,5,-2,8
albania,3,3,0,6
genocide,3,3,0,6
falkland,3,3,0,6
armies,3,2,1,5
neighbouring,3,5,-2,8
lenin,3,3,0,6
crete,3,3,0,6
colonise,3,5,-2,8
british,3,10,-7,13
1517,3,3,0,6
orkney,3,3,0,6
cyprus,3,3,0,6
positive,3,2,1,5
1945,3,3,0,6
troops,3,3,0,6
20,3,3,0,6
argue,3,2,1,5
western,3,8,-5,11
invaders,3,3,0,6
united,3,5,-2,8
shetland,3,3,0,6
tripolitania,3,3,0,6
1982,3,3,0,6
texas,3,3,0,6
imposed,3,2,1,5
million,3,3,0,6
sandwich,3,3,0,6
population,3,4,-1,7
specifically,3,3,0,6
long,3,2,1,5
georgia,3,3,0,6
greece,3,3,0,6
1825,3,6,-3,9
independence,3,4,-1,7
called,3,4,-1,7
late,3,2,1,5
aim,3,3,0,6
centre,3,5,-2,8
free,3,3,0,6
millions,3,2,1,5
economic,3,8,-5,11
gender,2,2,0,4
large,2,2,0,4
cia,2,0,2,2
medicinal,2,2,0,4
christmas,2,2,0,4
basra,2,1,1,3
great,2,2,0,4
yemen,2,1,1,3
colonia,2,1,1,3
1800,2,1,1,3
norfolk,2,2,0,4
dynasty,2,0,2,2
legitimized,2,1,1,3
led,2,1,1,3
exploitation,2,2,0,4
characterised,2,4,-2,6
discovery,2,1,1,3
conquests,2,2,0,4
far,2,1,1,3
australian,2,2,0,4
hawaii,2,2,0,4
domination,2,2,0,4
civilize,2,1,1,3
nation,2,3,-1,5
tariffs,2,2,0,4
social,2,3,-1,5
conquest,2,4,-2,6
nigeria,2,2,0,4
civilised,2,2,0,4
polity,2,1,1,3
continue,2,2,0,4
seeking,2,2,0,4
current,2,2,0,4
200,2,2,0,4
peninsula,2,1,1,3
india,2,3,-1,5
word,2,1,1,3
settled,2,2,0,4
rule,2,2,0,4
il,2,1,1,3
force,2,2,0,4
tropical,2,2,0,4
refers,2,1,1,3
legalize,2,1,1,3
upright,2,7,-5,9
developed,2,2,0,4
behavior,2,1,1,3
policy,2,2,0,4
industrialization,2,1,1,3
authority,2,2,0,4
surrounding,2,2,0,4
union,2,3,-1,5
central,2,2,0,4
emphasized,2,1,1,3
icon,2,2,0,4
numbers,2,2,0,4
organisation,2,4,-2,6
crown,2,0,2,2
nejd,2,1,1,3
agriculture,2,2,0,4
hybrid,2,2,0,4
latin,2,2,0,4
ethnic,2,0,2,2
natives,2,2,0,4
baghdad,2,1,1,3
