word,times_added,times_removed,net_change,absolute_change
americas,31,42,-11,73
european,29,38,-9,67
american,22,19,3,41
colonization,21,26,-5,47
america,21,21,0,42
columbus,17,17,0,34
norse,15,15,0,30
thumb,13,14,-1,27
spanish,13,13,0,26
1492,12,12,0,24
settlement,12,13,-1,25
north,11,13,-2,24
italian,10,10,0,20
south,10,12,-2,22
caribbean,10,12,-2,22
ebola,10,10,0,20
site,10,10,0,20
western,9,10,-1,19
century,9,9,0,18
began,9,9,0,18
christopher,9,9,0,18
voyages,9,9,0,18
new,8,8,0,16
hispaniola,8,8,0,16
explorer,8,8,0,16
europeans,8,10,-2,18
headed,7,7,0,14
discovery,7,9,-2,16
000,7,7,0,14
reached,7,7,0,14
conquest,7,7,0,14
contact,7,7,0,14
expedition,7,8,-1,15
americans,6,8,-2,14
oceanic,6,6,0,12
landed,6,6,0,12
native,6,8,-2,14
greenland,6,6,0,12
meadows,6,6,0,12
canada,6,6,0,12
aux,6,6,0,12
spain,6,7,-1,13
year,6,6,0,12
world,6,6,0,12
colony,6,6,0,12
europe,6,9,-3,15
coast,6,6,0,12
anse,6,6,0,12
trans,6,6,0,12
evidence,6,6,0,12
established,6,6,0,12
indigenous,6,8,-2,14
spaniards,6,6,0,12
control,5,7,-2,12
large,5,5,0,10
rico,5,5,0,10
systematic,5,5,0,10
newfoundland,5,6,-1,11
scale,5,5,0,10
people,5,6,-1,11
puerto,5,5,0,10
islands,5,5,0,10
cuba,5,5,0,10
day,5,5,0,10
oop,5,5,0,10
powers,4,4,0,8
africa,4,4,0,8
1922,4,5,-1,9
permanent,4,4,0,8
establishment,4,4,0,8
thomas,4,5,-1,9
vikings,4,4,0,8
died,4,4,0,8
areas,4,4,0,8
peoples,4,4,0,8
empire,4,4,0,8
west,4,4,0,8
east,4,3,1,7
disastrous,4,5,-1,9
exploration,4,4,0,8
describes,4,4,0,8
came,4,4,0,8
continents,4,4,0,8
hart,4,5,-1,9
history,4,5,-1,9
later,4,4,0,8
map,3,3,0,6
supported,3,3,0,6
attempted,3,3,0,6
1794,3,3,0,6
1978,3,3,0,6
dating,3,3,0,6
behalf,3,3,0,6
9th,3,4,-1,7
leif,3,3,0,6
990,3,3,0,6
93,3,3,0,6
notable,3,3,0,6
accepted,3,3,0,6
lasted,3,3,0,6
conquistador,3,3,0,6
1960,3,3,0,6
including,3,3,0,6
broadly,3,3,0,6
bahamas,3,3,0,6
indians,3,3,0,6
unesco,3,3,0,6
taino,3,3,0,6
northern,3,3,0,6
cabot,3,3,0,6
carbon,3,3,0,6
discovered,3,3,0,6
style,3,3,0,6
largest,3,3,0,6
taking,3,3,0,6
10th,3,3,0,6
assemblies,3,3,0,6
trade,3,3,0,6
soon,3,3,0,6
court,3,3,0,6
florida,3,4,-1,7
1000,3,3,0,6
brattahlíð,3,3,0,6
far,3,3,0,6
columbian,3,3,0,6
1050,3,3,0,6
þing,3,3,0,6
possible,3,3,0,6
