word,times_added,times_removed,net_change,absolute_change
137,23,0,23,23
day,16,15,1,31
peoples,13,9,4,22
indigenous,11,7,4,18
people,5,4,1,9
holiday,4,5,-1,9
com,4,3,1,7
columbus,3,7,-4,10
state,3,6,-3,9
october,2,3,-1,5
america,2,1,1,3
christopher,2,3,-1,5
americans,2,2,0,4
political,2,1,1,3
native,2,5,-3,7
uaf,2,0,2,2
amp,2,2,0,4
09,2,1,1,3
2019,2,4,-2,6
agenda,2,2,0,4
begun,2,1,1,3
american,2,6,-4,8
wafb,2,2,0,4
oct,2,0,2,2
currently,1,1,0,2
51,1,1,0,2
needed,1,1,0,2
welcome,1,0,1,1
image,1,1,0,2
destroying,1,1,0,2
socialist,1,1,0,2
city,1,0,1,1
municipalities,1,1,0,2
learn,1,1,0,2
oklahoma,1,1,0,2
ks,1,1,0,2
news,1,0,1,1
caption,1,1,0,2
hammarskjöld,1,0,1,1
italian,1,2,-1,3
fhfhdfd,1,1,0,2
world,1,0,1,1
2012,1,1,0,2
portugese,1,1,0,2
groups,1,0,1,1
moorehead,1,1,0,2
racist,1,1,0,2
mn,1,0,1,1
california,1,3,-2,4
colonizers,1,1,0,2
duration,1,1,0,2
massachusettssomerville,1,0,1,1
indegenous,1,0,1,1
file,1,1,0,2
varies,1,1,0,2
image_size,1,1,0,2
louisiana,1,2,-1,3
300px,1,1,0,2
began,1,2,-1,3
international,1,0,1,1
beauty,1,1,0,2
5609818,1,0,1,1
honor,1,1,0,2
8084917906,1,1,0,2
2017,1,0,1,1
library,1,0,1,1
march,1,1,0,2
proclaimed,1,1,0,2
holiday_name,1,1,0,2
observedby,1,1,0,2
observe,1,0,1,1
content,1,0,1,1
seen,1,1,0,2
fake,1,1,0,2
thumb,1,1,0,2
cite,1,1,0,2
european,1,0,1,1
day_286,1,1,0,2
states,1,1,0,2
kansas,1,2,-1,3
vote,1,1,0,2
ethnic,1,1,0,2
actions,1,1,0,2
americas,1,1,0,2
1992,1,1,0,2
newsday,1,0,1,1
recognition,1,1,0,2
infobox,1,1,0,2
wi,1,1,0,2
various,1,1,0,2
annual,1,1,0,2
voted,1,2,-1,3
recognizes,1,0,1,1
town,1,0,1,1
16,1,1,0,2
berkeley,1,1,0,2
