word,times_added,times_removed,net_change,absolute_change
peepeepoopoopeepeepoo,332,332,0,664
peepeepoopoogreat,68,68,0,136
fixed,68,68,0,136
dont,68,68,0,136
pleasepeepeepoo,67,67,0,134
000,45,44,1,89
million,21,20,1,41
native,18,6,12,24
groups,14,7,7,21
ethnic,14,9,5,23
america,13,9,4,22
category,12,7,5,19
americas,12,13,-1,25
indigenous,11,15,-4,26
population,9,4,5,13
american,9,7,2,16
united,7,7,0,14
12,7,6,1,13
thumb,6,5,1,11
americans,6,1,5,7
rica,6,6,0,12
costa,6,6,0,12
indians,5,4,1,9
indian,5,5,0,10
theories,5,4,1,9
populations,5,2,3,7
states,5,5,0,10
dominica,5,3,2,8
cuba,5,2,3,7
70,5,4,1,9
used,4,0,4,4
bolivia,4,3,1,7
2005,4,5,-1,9
central,4,3,1,7
spanish,4,4,0,8
canada,4,5,-1,9
world,4,3,1,7
carib,4,1,3,5
peru,4,3,1,7
paraguay,4,5,-1,9
celade,4,4,0,8
languages,4,4,0,8
census,4,4,0,8
group,4,4,0,8
europeans,4,0,4,4
southern,4,4,0,8
french,4,4,0,8
ecuador,3,3,0,6
guyana,3,2,1,5
pop25,3,3,0,6
ref25,3,3,0,6
belize,3,3,0,6
library,3,4,-1,7
ref28,3,3,0,6
latin,3,2,1,5
500,3,3,0,6
south,3,5,-2,8
northern,3,1,2,4
peoples,3,8,-5,11
slaves,3,0,3,3
region27,3,3,0,6
july,3,3,0,6
2010,3,3,0,6
greenland,3,3,0,6
grenadines,3,3,0,6
ref27,3,3,0,6
19,3,3,0,6
chile,3,3,0,6
80,3,2,1,5
guatemala,3,3,0,6
mexico,3,3,0,6
amerindians,3,1,2,4
pop26,3,3,0,6
people,3,2,1,5
infobox,3,3,0,6
region28,3,3,0,6
trinidad,3,3,0,6
colombia,3,3,0,6
continents,3,2,1,5
vincent,3,3,0,6
tobago,3,3,0,6
region26,3,3,0,6
brazil,3,3,0,6
ref26,3,3,0,6
maintain,3,2,1,5
saint,3,3,0,6
pop28,3,3,0,6
panama,3,3,0,6
david,3,3,0,6
pop27,3,3,0,6
honduras,2,2,0,4
gov,2,4,-2,6
ref7,2,2,0,4
region17,2,2,0,4
bureau,2,2,0,4
ref2,2,2,0,4
ref16,2,2,0,4
image,2,2,0,4
inhabitants,2,2,0,4
ref11,2,2,0,4
region2,2,2,0,4
region20,2,2,0,4
arrival,2,1,1,3
caption,2,2,0,4
empires,2,2,0,4
cia,2,3,-1,5
indies,2,2,0,4
pop16,2,2,0,4
33,2,2,0,4
24,2,3,-1,5
pop13,2,2,0,4
nacional,2,2,0,4
california,2,1,1,3
region19,2,2,0,4
460,2,2,0,4
ref23,2,2,0,4
pop15,2,2,0,4
pop7,2,2,0,4
ref15,2,2,0,4
pop23,2,2,0,4
english,2,2,0,4
444,2,2,0,4
region8,2,2,0,4
argentina,2,2,0,4
40,2,2,0,4
venezuela,2,2,0,4
pop19,2,2,0,4
pop18,2,2,0,4
region21,2,2,0,4
pop9,2,2,0,4
pop20,2,2,0,4
region1,2,2,0,4
118,2,2,0,4
ref17,2,2,0,4
cultural,2,2,0,4
north,2,2,0,4
cepal,2,2,0,4
region15,2,2,0,4
region18,2,2,0,4
populated,2,2,0,4
peepeepoo,2,2,0,4
peluda,2,2,0,4
short,2,1,1,3
pop12,2,2,0,4
116,2,2,0,4
danish,2,2,0,4
nations,2,3,-1,5
empire,2,1,1,3
entirely,2,0,2,2
ref6,2,2,0,4
region3,2,2,0,4
900,2,2,0,4
pop14,2,2,0,4
conflicts,2,0,2,2
13,2,2,0,4
la,2,2,0,4
thought,2,2,0,4
pop24,2,2,0,4
region13,2,2,0,4
countries,2,2,0,4
common,2,1,1,3
ref24,2,2,0,4
region16,2,2,0,4
suriname,2,2,0,4
home,2,0,2,2
region7,2,2,0,4
redatam,2,2,0,4
pop3,2,2,0,4
retrieved,2,2,0,4
ref10,2,2,0,4
salvador,2,2,0,4
ref18,2,2,0,4
ref9,2,2,0,4
mx,2,3,-1,5
nicaragua,2,2,0,4
pop17,2,2,0,4
ref12,2,2,0,4
altaians,2,0,2,2
region4,2,2,0,4
dutch,2,2,0,4
region11,2,2,0,4
51,2,3,-1,5
ref21,2,2,0,4
region23,2,2,0,4
geos,2,3,-1,5
pop2,2,2,0,4
ref13,2,2,0,4
region22,2,2,0,4
ref14,2,2,0,4
region10,2,2,0,4
settlement,2,2,0,4
ref22,2,2,0,4
ref4,2,2,0,4
pop5,2,2,0,4
ref8,2,2,0,4
disease,2,0,2,2
160,2,2,0,4
practices,2,2,0,4
related,2,2,0,4
550,2,2,0,4
region14,2,2,0,4
ref19,2,2,0,4
region12,2,2,0,4
wood,2,1,1,3
research,2,1,1,3
wilton,2,2,0,4
territory,2,0,2,2
portuguese,2,2,0,4
ref5,2,2,0,4
pop21,2,2,0,4
region5,2,2,0,4
pop22,2,2,0,4
524,2,2,0,4
alaska,2,2,0,4
various,2,0,2,2
pop10,2,2,0,4
pop6,2,2,0,4
regions,2,2,0,4
guiana,2,2,0,4
520,2,2,0,4
step,2,0,2,2
word,2,2,0,4
ref3,2,2,0,4
region9,2,2,0,4
region25,2,2,0,4
based,2,1,1,3
ref20,2,2,0,4
uruguay,2,2,0,4
region24,2,2,0,4
censo,2,2,0,4
aspects,2,2,0,4
factbook,2,3,-1,5
eclac,2,2,0,4
region6,2,2,0,4
pop4,2,2,0,4
publications,2,3,-1,5
maya,2,2,0,4
pop8,2,2,0,4
upright,2,1,1,3
peepeepoopoo,2,2,0,4
el,2,2,0,4
pop11,2,2,0,4
religions,2,2,0,4
verga,2,2,0,4
2013,2,2,0,4
pop1,2,2,0,4
pa163,2,2,0,4
pop,2,2,0,4
map,1,1,0,2
pathumb,1,1,0,2
control,1,0,1,1
able,1,0,1,1
large,1,0,1,1
origin,1,1,0,2
html90,1,1,0,2
spoken,1,1,0,2
32,1,0,1,1
panamá,1,1,0,2
division,1,1,0,2
consists,1,0,1,1
legends,1,1,0,2
tribes,1,0,1,1
environment,1,1,0,2
enrolled,1,0,1,1
player,1,0,1,1
congress,1,1,0,2
peopling,1,1,0,2
migration,1,1,0,2
38,1,0,1,1
africa,1,0,1,1
chesley,1,1,0,2
largely,1,0,1,1
tribal,1,0,1,1
domestication,1,0,1,1
hi,1,1,0,2
corn,1,1,0,2
todos,1,1,0,2
cotton,1,1,0,2
intended,1,0,1,1
guaraní,1,1,0,2
taínos,1,0,1,1
hand,1,0,1,1
characterized,1,1,0,2
93,1,0,1,1
2004,1,1,0,2
notable,1,0,1,1
border,1,1,0,2
caste,1,1,0,2
exacerbated,1,0,1,1
file,1,1,0,2
traditional,1,1,0,2
paleo,1,1,0,2
including,1,0,1,1
mass,1,0,1,1
technologies,1,1,0,2
depicts,1,0,1,1
natural,1,0,1,1
bribri,1,1,0,2
grande,1,1,0,2
grouppeepeepoo,1,1,0,2
iloveancestry,1,1,0,2
warring,1,0,1,1
absence,1,1,0,2
addition,1,0,1,1
ancestry,1,0,1,1
22,1,1,0,2
owners,1,1,0,2
agriculture,1,1,0,2
sizable,1,1,0,2
shows,1,1,0,2
kalinago,1,0,1,1
chucky,1,1,0,2
suc,1,1,0,2
glyptodont,1,1,0,2
depends,1,0,1,1
way,1,0,1,1
82,1,0,1,1
european,1,5,-4,6
count,1,1,0,2
old,1,0,1,1
unesco,1,1,0,2
andahu,1,1,0,2
porfato,1,1,0,2
aymara,1,1,0,2
matambú,1,1,0,2
lpg,1,1,0,2
id,1,1,0,2
different,1,1,0,2
52,1,0,1,1
instrument,1,0,1,1
parts,1,1,0,2
americaleo,1,1,0,2
cordillera,1,1,0,2
god,1,1,0,2
crops,1,1,0,2
dios,1,1,0,2
did,1,0,1,1
las,1,1,0,2
columbus,1,1,0,2
close,1,0,1,1
monophonic,1,0,1,1
false,1,1,0,2
african,1,1,0,2
cons,1,1,0,2
los,1,1,0,2
children,1,1,0,2
natives,1,0,1,1
washingtion,1,1,0,2
chorotega,1,1,0,2
diseases,1,0,1,1
half,1,0,1,1
died,1,0,1,1
music,1,0,1,1
discovered,1,1,0,2
endeo,1,1,0,2
secluded,1,1,0,2
fun,1,1,0,2
artistic,1,1,0,2
length,1,0,1,1
widespread,1,1,0,2
