word,times_added,times_removed,net_change,cluster
dictionary,5,1,4,0
title,5,2,3,0
cite,5,2,3,0
hard,3,0,3,0
status,4,1,3,0
live,4,1,3,0
word,4,0,4,0
publisher,5,1,4,0
ca,3,0,3,0
etymonline,4,1,3,0
supersized,3,0,3,0
nutritionaction,3,0,3,0
believe,3,0,3,0
restaurants,3,0,3,0
breakfast,3,0,3,0
eat,3,0,3,0
graham,3,0,3,0
huffingtonpost,3,0,3,0
webster,2,0,2,0
relatively,2,0,2,0
merriam,2,0,2,0
healthy,2,0,2,0
sell,3,0,3,0
use,3,1,2,0
baked,2,0,2,0
etymology,2,0,2,0
nutrition,2,0,2,0
stated,2,0,2,0
daily,2,0,2,0
news,2,0,2,0
cake,2,1,1,0
online,2,0,2,0
bartlett,1,0,1,0
cracker,2,0,2,0
sugar,2,0,2,0
region,2,0,2,0
cakes,2,0,2,0
originated,2,0,2,0
shortly,2,0,2,0
html,2,0,2,0
persia,2,0,2,0
called,2,0,2,0
long,2,0,2,0
s,2,1,1,0
remain,2,1,1,0
common,2,0,2,0
author,2,0,2,0
biscuits,2,1,1,0
mixture,1,0,1,0
running,1,0,1,0
taylor,1,0,1,0
koekje,1,0,1,0
ranging,1,0,1,0
allows,1,0,1,0
wedding,1,0,1,0
sink,1,0,1,0
starbucks,1,0,1,0
business,1,0,1,0
kinds,1,0,1,0
huffington,1,0,1,0
work,1,0,1,0
leah,1,0,1,0
edition,1,0,1,0
october,1,0,1,0
kimberley,1,0,1,0
don,1,0,1,0
soda,1,0,1,0
prepared,1,0,1,0
softness,1,0,1,0
thickening,1,0,1,0
bouquet,1,0,1,0
canadians,1,0,1,0
deal,1,0,1,0
water,1,0,1,0
magic,1,0,1,0
totally,1,0,1,0
wiktionary,1,0,1,0
mexican,1,0,1,0
establishments,1,0,1,0
flavor,1,0,1,0
ross,1,0,1,0
ok,1,0,1,0
kate,1,0,1,0
collegiate,1,0,1,0
coated,1,0,1,0
vintage,1,0,1,0
finished,1,0,1,0
bernstein,1,0,1,0
country,1,0,1,0
terms,1,0,1,0
result,1,0,1,0
modern,1,0,1,0
cooked,1,0,1,0
tenth,1,0,1,0
base,1,0,1,0
small,1,0,1,0
melissa,1,0,1,0
routledge,1,0,1,0
francis,1,0,1,0
instead,1,0,1,0
publishers,1,0,1,0
dessert,1,0,1,0
corporations,1,0,1,0
action,1,0,1,0
saturating,1,0,1,0
depend,1,0,1,0
mcmahon,1,0,1,0
jones,1,0,1,0
tends,1,0,1,0
tea,1,0,1,0
derives,1,0,1,0
behave,1,0,1,0
sized,1,0,1,0
case,1,0,1,0
added,1,0,1,0
indian,1,0,1,0
term,1,0,1,0
escaped,1,0,1,0
cookbook,1,0,1,0
post,1,0,1,0
inline,1,0,1,0
russian,1,0,1,0
multinational,1,0,1,0
slang,1,0,1,0
computer,1,0,1,0
unconventional,1,0,1,0
bubbles,1,1,0,1
oils,1,2,-1,1
primarily,0,1,-1,1
dum,0,1,-1,1
ft,0,1,-1,1
paul,0,1,-1,1
click,0,1,-1,1
gases,1,2,-1,1
thevintagenews,1,2,-1,1
en,1,1,0,1
category,1,1,0,1
little,1,2,-1,1
dairy,1,1,0,1
gluten,1,2,-1,1
bar,1,1,0,1
authority,1,1,0,1
free,1,1,0,1
biscuit,1,6,-5,1
eggs,1,1,0,1
control,1,1,0,1
baking,1,2,-1,1
n,2,2,0,1
confection,1,1,0,1
british,4,5,-1,1
american,2,3,-1,1
language,1,2,-1,1
traybakes,1,1,0,1
chocolate,1,1,0,1
far,1,1,0,1
better,1,1,0,1
commons,1,1,0,1
food,1,2,-1,1
crunchy,1,1,0,1
wafer,1,1,0,1
allow,0,1,-1,1
canada,0,1,-1,1
game,0,1,-1,1
survive,0,1,-1,1
c,0,1,-1,1
solidified,0,1,-1,1
type,0,1,-1,1
subscription,0,1,-1,1
cavities,0,1,-1,1
vegetable,0,1,-1,1
algerian,0,1,-1,1
distinguish,0,1,-1,1
jpg,0,2,-2,1
magazine,0,2,-2,1
quick,0,1,-1,1
cu,0,1,-1,1
following,0,1,-1,1
composed,0,1,-1,1
redirect,0,1,-1,1
varieties,0,1,-1,1
books,0,1,-1,1
content,0,1,-1,1
derive,0,1,-1,1
clicker,0,1,-1,1
steam,0,1,-1,1
render,0,1,-1,1
cuisine,0,1,-1,1
eric,0,1,-1,1
pin,0,1,-1,1
whites,0,1,-1,1
does,0,1,-1,1
set,0,1,-1,1
heart,0,2,-2,1
recipe,0,1,-1,1
produced,0,1,-1,1
wheat,0,1,-1,1
file,0,2,-2,1
iranian,0,1,-1,1
ensure,0,1,-1,1
lang,0,6,-6,1
dsl,0,1,-1,1
uk,0,1,-1,1
cooky,0,1,-1,1
meredith,0,1,-1,1
insel,0,1,-1,1
india,0,2,-2,1
bread,0,2,-2,1
place,0,1,-1,1
rolling,0,1,-1,1
peanut,0,1,-1,1
ghostarchive,0,1,-1,1
p,0,2,-2,1
roast,0,1,-1,1
types,0,1,-1,1
used,0,1,-1,1
vaporized,0,1,-1,1
shaped,0,2,-2,1
egg,0,1,-1,1
ac,0,1,-1,1
hatgrp,0,1,-1,1
bake,0,2,-2,1
community,0,1,-1,1
soaked,0,1,-1,1
nl,0,5,-5,1
butter,0,1,-1,1
roasting,0,1,-1,1
traybake,0,2,-2,1
bengal,0,1,-1,1
entry,0,1,-1,1
interior,0,1,-1,1
partridge,0,1,-1,1
created,0,1,-1,1
fast,0,1,-1,1
bratskeir,0,1,-1,1
meat,0,1,-1,1
soggy,0,1,-1,1
binder,0,1,-1,1
refers,0,1,-1,1
allrecipes,0,3,-3,1
west,0,1,-1,1
kie,0,1,-1,1
flavoring,0,1,-1,1
ettman,0,1,-1,1
escaping,0,1,-1,1
scots,0,1,-1,1
cut,0,1,-1,1
snd,0,1,-1,1
saturate,0,1,-1,1
september,9,0,9,2
cookies,11,10,1,2
com,11,4,7,2
cookie,12,5,7,2
english,6,8,-2,2
