word,times_added,times_removed,net_change
the,15,8,7
url,13,5,8
https,13,6,7
web,13,2,11
cookie,12,5,7
date,12,3,9
archive,12,3,9
com,11,4,7
cookies,10,9,1
september,9,0,9
www,9,3,6
ref,9,4,5
to,8,3,5
english,7,9,-2
and,7,5,2
in,7,7,0
british,5,6,-1
of,5,5,0
publisher,5,1,4
access,5,3,2
title,5,2,3
not,5,0,5
dictionary,5,1,4
cite,5,2,3
website,5,2,3
live,4,1,3
org,4,1,3
status,4,1,3
etymonline,4,1,3
word,4,0,4
supersized,3,0,3
what,3,0,3
http,3,0,3
sell,3,0,3
believe,3,0,3
these,3,2,1
eat,3,0,3
graham,3,0,3
nutritionaction,3,0,3
huffingtonpost,3,0,3
from,3,2,1
hard,3,0,3
restaurants,3,0,3
breakfast,3,0,3
ca,3,0,3
they,3,0,3
use,3,1,2
shortly,2,0,2
common,2,0,2
relatively,2,0,2
biscuits,2,1,1
last,2,1,1
this,2,0,2
n,2,2,0
long,2,0,2
webster,2,0,2
cracker,2,0,2
html,2,0,2
that,2,1,1
nutrition,2,0,2
called,2,0,2
or,2,3,-1
originated,2,0,2
persia,2,0,2
sugar,2,0,2
american,2,3,-1
cakes,2,0,2
online,2,0,2
region,2,0,2
etymology,2,0,2
s,2,1,1
healthy,2,0,2
it,2,0,2
stated,2,0,2
baked,2,0,2
first,2,1,1
remain,2,1,1
became,2,0,2
its,2,0,2
as,2,3,-1
be,2,1,1
made,2,1,1
a,2,7,-5
with,2,0,2
daily,2,0,2
author,2,0,2
are,2,1,1
merriam,2,0,2
news,2,0,2
cake,2,1,1
slang,1,0,1
computer,1,0,1
how,1,0,1
little,1,2,-1
but,1,0,1
collegiate,1,0,1
confection,1,1,0
dessert,1,0,1
may,1,1,0
inc,1,0,1
oils,1,2,-1
country,1,0,1
flavor,1,0,1
do,1,0,1
dairy,1,1,0
authority,1,1,0
koekje,1,0,1
etc,1,0,1
magic,1,0,1
ranging,1,0,1
gases,1,2,-1
commons,1,1,0
softness,1,0,1
october,1,0,1
case,1,0,1
taylor,1,0,1
result,1,0,1
running,1,0,1
for,1,1,0
much,1,1,0
mixture,1,0,1
control,1,1,0
added,1,0,1
wafer,1,1,0
term,1,0,1
escaped,1,0,1
base,1,0,1
about,1,0,1
bubbles,1,1,0
far,1,1,0
some,1,0,1
instead,1,0,1
eggs,1,1,0
canadians,1,0,1
food,1,2,-1
such,1,1,0
corporations,1,0,1
chocolate,1,1,0
leah,1,0,1
en,1,1,0
behave,1,0,1
don,1,0,1
inline,1,0,1
ok,1,0,1
vintage,1,0,1
