word,times_added,times_removed,net_change
date,358,440,-82
the,215,273,-58
archive,206,238,-32
url,203,259,-56
transgender,177,214,-37
access,176,208,-32
of,156,197,-41
web,144,186,-42
and,140,190,-50
to,137,164,-27
man,137,139,-2
a,132,184,-52
gender,131,198,-67
status,119,138,-19
ref,110,185,-75
https,108,154,-46
org,98,118,-20
website,97,120,-23
title,87,123,-36
people,82,94,-12
in,80,127,-47
live,78,83,-5
august,78,79,-1
www,73,102,-29
http,68,77,-9
rights,63,93,-30
transsexual,61,57,4
mow,60,60,0
went,60,60,0
is,58,73,-15
legal,56,151,-95
identity,52,73,-21
by,48,59,-11
term,47,47,0
or,47,99,-52
com,46,63,-17
that,46,55,-9
with,44,77,-33
for,40,58,-18
meadow,40,40,0
sex,39,60,-21
may,39,52,-13
recognition,37,55,-18
who,36,37,-1
are,36,42,-6
change,34,39,-5
many,33,37,-4
june,33,43,-10
de,32,41,-9
law,32,46,-14
some,31,32,-1
cite,31,67,-36
not,30,33,-3
news,30,57,-27
november,29,33,-4
bill,29,40,-11
publisher,28,37,-9
transsexualism,27,27,0
one,27,28,-1
january,27,28,-1
an,25,26,-1
their,25,33,-8
september,25,29,-4
name,25,35,-10
two,24,25,-1
april,24,31,-7
language,23,32,-9
trans,22,36,-14
his,21,21,0
july,21,22,-1
first,21,42,-21
dead,21,24,-3
dog,20,20,0
last,20,44,-24
icd,19,19,0
s,19,34,-15
health,19,21,-2
american,18,19,-1
as,18,24,-6
au,18,18,0
three,18,18,0
october,17,20,-3
at,17,22,-5
these,17,18,-1
countries,17,23,-6
december,17,22,-5
colspan,17,25,-8
int,16,16,0
stryker,16,16,0
four,16,16,0
n,16,54,-38
transgenderism,16,16,0
en,16,28,-12
considered,16,15,1
be,15,22,-7
birth,15,28,-13
persons,15,15,0
five,14,14,0
fact,14,14,0
it,14,18,-4
do,14,14,0
gendercentre,14,14,0
associated,14,16,-2
lgbt,14,21,-7
new,14,20,-6
this,14,16,-2
work,14,30,-16
they,13,14,-1
author,13,8,5
surgery,13,20,-7
person,13,16,-3
being,13,14,-1
can,13,16,-3
from,13,18,-5
march,13,20,-7
but,13,17,-4
have,12,15,-3
on,12,34,-22
february,12,17,-5
diagnosis,12,15,-3
world,12,19,-7
htm,12,12,0
identify,12,12,0
uk,12,12,0
subset,12,12,0
most,12,12,0
id,12,15,-3
dysphoria,12,13,-1
six,12,13,-1
newspaper,12,4,8
non,12,13,-1
others,12,14,-2
category,12,13,-1
groups,12,12,0
popularized,12,12,0
ley,12,12,0
however,12,11,1
social,12,14,-2
parliament,11,20,-9
e,11,11,0
cr,11,12,-1
generally,11,11,0
were,11,10,1
align,11,18,-7
center,11,20,-9
la,11,12,-1
article,11,10,1
isbn,11,11,0
now,11,10,1
role,11,11,0
resources,11,13,-2
unknown,10,40,-30
go,10,10,0
woman,10,10,0
gov,10,15,-5
i,10,11,-1
assigned,10,12,-2
es,10,10,0
no,10,121,-111
sheets,10,10,0
m,10,10,0
recognize,10,12,-2
use,10,11,-1
dsm,10,10,0
care,10,10,0
seven,10,10,0
psychiatric,10,12,-2
individuals,9,11,-2
archived,9,1,8
also,9,13,-4
other,9,11,-2
university,9,11,-2
p,9,10,-1
entity,9,9,0
was,9,11,-2
copy,9,1,8
europe,9,17,-8
transsexuals,9,9,0
t,9,11,-2
required,9,14,-5
flagicon,9,14,-5
services,9,9,0
sidebar,9,9,0
identidad,9,9,0
there,8,8,0
protection,8,8,0
valentine,8,8,0
html,8,14,-6
body,8,8,0
between,8,9,-1
book,8,8,0
bevan,8,8,0
identities,8,8,0
conform,8,8,0
self,8,13,-5
act,8,28,-20
legend,8,9,-1
issue,8,8,0
don,8,8,0
eight,8,8,0
both,8,8,0
possible,8,7,1
alegria,8,8,0
which,8,12,-4
broader,8,8,0
susan,8,8,0
pages,8,10,-2
umbrella,8,8,0
meyerowitz,8,8,0
third,8,10,-2
prince,8,8,0
movement,8,16,-8
location,8,9,-1
categories,7,7,0
community,7,7,0
jurisdictions,7,8,-1
should,7,10,-3
laws,7,10,-3
pending,7,7,0
scotland,7,14,-7
roles,7,7,0
country,7,10,-3
government,7,8,-1
c,7,8,-1
incongruence,7,8,-1
association,7,11,-4
therapy,7,10,-3
reject,7,10,-3
aspx,7,9,-2
issues,7,8,-1
often,7,8,-1
medical,7,9,-2
pt,7,8,-1
ilga,6,10,-4
you,6,6,0
court,6,15,-9
reassignment,6,13,-7
journal,6,8,-2
practice,6,23,-17
br,6,9,-3
slovakia,6,13,-7
l,6,6,0
dates,6,6,0
co,6,7,-1
expression,6,14,-8
assignment,6,6,0
press,6,12,-6
nine,6,6,0
dmy,6,6,0
treatment,6,8,-2
varies,6,11,-5
thailand,6,7,-1
gay,6,11,-5
sterilization,6,23,-17
if,6,5,1
passes,6,8,-2
subsequent,5,5,0
peru,5,6,-1
page,5,5,0
sexual,5,5,0
decide,5,5,0
said,5,4,1
modifications,5,5,0
prsindia,5,5,0
few,5,5,0
mentally,5,5,0
ethnography,5,5,0
human,5,7,-2
various,5,5,0
tied,5,5,0
india,5,7,-2
d,5,5,0
healthcare,5,8,-3
forward,5,7,-2
volume,5,5,0
move,5,5,0
same,5,7,-2
typically,5,4,1
again,5,5,0
year,5,5,0
haider,5,5,0
up,5,5,0
file,5,11,-6
bodies,5,5,0
official,5,6,-1
reform,5,8,-3
processes,5,5,0
matters,5,5,0
star,5,6,-1
culturally,5,5,0
such,5,7,-2
doctors,5,5,0
has,5,9,-4
qcostarica,5,5,0
aspects,5,5,0
gaystarnews,5,0,5
set,5,5,0
used,5,5,0
whether,5,5,0
genero,5,6,-1
net,5,5,0
automatically,5,5,0
identification,5,10,-5
ten,5,5,0
directly,5,5,0
david,5,5,0
incorporate,5,5,0
bbc,5,5,0
asamblea,5,5,0
markel,5,5,0
feel,5,6,-1
el,4,6,-2
richard,4,4,0
medically,4,5,-1
inconsistent,4,4,0
psychobiology,4,4,0
political,4,5,-1
adoption,4,4,0
redirect,4,5,-1
adjective,4,4,0
edu,4,5,-1
observers,4,4,0
adovcated,4,4,0
concerning,4,4,0
sometimes,4,4,0
morbidity,4,4,0
imposed,4,4,0
minter,4,4,0
least,4,4,0
framing,4,4,0
difference,4,4,0
permanent,4,4,0
conforming,4,4,0
policy,4,4,0
rejection,4,4,0
iran,4,5,-1
cauldwell,4,4,0
dignity,4,4,0
norms,4,4,0
constitute,4,4,0
clinics,4,4,0
png,4,4,0
individually,4,4,0
physical,4,9,-5
concept,4,4,0
politics,4,4,0
thomas,4,4,0
yes,4,92,-88
diputados,4,5,-1
serve,4,4,0
much,4,4,0
imagining,4,4,0
understand,4,4,0
semi,4,4,0
available,4,4,0
mental,4,5,-1
necessary,4,5,-1
using,4,4,0
sufficient,4,4,0
promote,4,5,-1
scot,4,8,-4
buzzfeed,4,4,0
diverse,4,4,0
pioneered,4,4,0
nurse,4,4,0
means,4,4,0
kong,4,12,-8
territory,4,5,-1
virginia,4,4,0
practitioners,4,4,0
york,4,4,0
certificate,4,11,-7
communities,4,4,0
studies,4,4,0
oliven,4,4,0
hrt,4,3,1
pib,4,4,0
individual,4,5,-1
employed,4,4,0
recognizes,4,4,0
paisley,4,4,0
pakistan,4,6,-2
currah,4,4,0
michigan,4,4,0
word,4,4,0
simply,4,4,0
elmundo,4,5,-1
introduced,4,7,-3
arlington,4,4,0
labelled,4,4,0
reuters,4,7,-3
reassignments,4,4,0
k,4,4,0
explicit,4,4,0
va,4,4,0
activists,4,4,0
john,4,4,0
academy,4,4,0
given,4,4,0
international,4,8,-4
typical,4,4,0
accepted,4,4,0
reader,4,4,0
evaluation,4,4,0
shows,4,4,0
history,4,6,-2
kelley,4,4,0
organization,4,4,0
disabled,4,4,0
clearly,4,4,0
natal,4,4,0
whittle,4,4,0
hormonal,4,5,-1
essays,4,4,0
taylor,4,5,-1
whose,4,5,-1
included,4,6,-2
struggle,4,4,0
para,4,5,-1
greece,4,5,-1
requires,4,6,-2
cover,4,4,0
psychiatry,4,4,0
benefit,4,4,0
permitting,4,4,0
more,4,4,0
books,4,4,0
edited,4,4,0
employ,4,4,0
eds,4,4,0
benjamin,4,4,0
retrieved,4,4,0
all,4,9,-5
salvador,4,5,-1
formally,4,4,0
routledge,4,4,0
designed,4,4,0
hormone,4,4,0
proyecto,4,5,-1
encompass,4,4,0
duke,4,4,0
introduction,4,4,0
behavior,4,4,0
psychosocial,4,4,0
today,4,4,0
winters,4,4,0
hrw,4,5,-1
within,4,4,0
coined,4,4,0
variant,4,4,0
juang,4,4,0
establish,4,4,0
legally,4,8,-4
statistics,4,5,-1
sort,4,8,-4
madness,4,4,0
j,4,4,0
implications,4,5,-1
than,4,4,0
established,4,4,0
will,4,4,0
nic,4,4,0
shannon,4,4,0
srs,4,3,1
hong,4,12,-8
mortality,4,4,0
conasida,4,4,0
transgendered,4,4,0
harry,4,4,0
discordance,4,4,0
intend,4,4,0
bills,4,8,-4
thumb,4,4,0
permanently,4,4,0
those,4,4,0
camara,4,4,0
accords,4,4,0
illustrates,4,4,0
civil,3,4,-1
ireland,3,3,0
proponen,3,3,0
becomes,3,7,-4
defending,3,3,0
fmln,3,3,0
appi,3,3,0
regarding,3,3,0
pdf,3,6,-3
nonbinary,3,4,-1
accessdate,3,3,0
widely,3,3,0
billtrack,3,3,0
genderqueer,3,3,0
descriptions,3,3,0
women,3,13,-10
amnesty,3,6,-3
pangender,3,3,0
costarica,3,3,0
binary,3,3,0
r,3,3,0
ep,3,6,-3
tend,3,3,0
svg,3,9,-6
understanding,3,3,0
edition,3,3,0
agender,3,3,0
provided,3,4,-1
landmark,3,5,-2
throughout,3,3,0
flag,3,236,-233
amendment,3,3,0
men,3,5,-2
importante,3,3,0
family,3,3,0
variation,3,3,0
publishing,3,3,0
traditional,3,3,0
costa,3,4,-1
ec,3,2,1
ca,3,3,0
statistical,3,3,0
replacing,3,3,0
disorders,3,3,0
rica,3,4,-1
socially,3,3,0
senado,3,3,0
necesita,3,3,0
tgeu,3,5,-2
greater,3,3,0
including,3,5,-2
especially,3,3,0
children,3,4,-1
approves,3,3,0
stm,3,4,-1
making,3,6,-3
impossible,3,7,-4
someone,3,4,-1
gob,3,3,0
description,3,6,-3
terms,3,3,0
literature,3,3,0
transsexuality,3,3,0
exclude,3,3,0
marriage,3,3,0
hoy,3,3,0
parl,3,3,0
iceland,3,11,-8
anneleri,3,3,0
diagnostic,3,3,0
sexo,3,4,-1
polygender,3,3,0
pl,3,4,-1
insurance,3,3,0
call,3,3,0
cispes,3,3,0
globally,3,3,0
expressions,3,3,0
genders,3,3,0
security,3,3,0
degree,3,3,0
times,3,6,-3
procedures,3,3,0
report,3,3,0
africa,3,7,-4
que,3,4,-1
designation,3,3,0
victory,3,1,2
jp,3,3,0
pinknews,3,3,0
guardian,3,3,0
part,3,4,-1
una,3,3,0
se,3,3,0
replaced,3,3,0
question,3,3,0
breadth,3,3,0
brazil,3,5,-2
approved,3,3,0
crear,3,3,0
partner,3,3,0
outside,3,3,0
manual,3,3,0
france,3,4,-1
latest,3,7,-4
map,3,4,-1
hdl,3,3,0
egypt,3,5,-2
fr,3,3,0
ban,3,10,-7
theguardian,3,4,-1
doi,3,3,0
fifth,3,3,0
ill,3,3,0
just,3,5,-2
red,3,2,1
cringesexual,3,3,0
cl,3,3,0
algo,3,3,0
any,3,4,-1
card,3,3,0
lei,3,3,0
backs,3,3,0
entering,3,3,0
benefiting,3,3,0
cedula,3,3,0
conversion,3,6,-3
periodical,3,0,3
eu,2,5,-3
cljlaw,2,2,0
corporation,2,2,0
male,2,5,-3
lgbti,2,3,-1
european,2,4,-2
complex,2,19,-17
exam,2,2,0
reglamentos,2,2,0
botswana,2,3,-1
asambleanacional,2,2,0
gs,2,0,2
derechos,2,2,0
y,2,2,0
changement,2,2,0
legifrance,2,2,0
grodzka,2,2,0
printrelease,2,2,0
monitor,2,2,0
house,2,3,-1
what,2,2,0
pravda,2,2,0
says,2,2,0
attraction,2,2,0
indian,2,3,-1
committee,2,2,0
ambiguous,2,2,0
detalle,2,2,0
unclear,2,32,-30
hc,2,2,0
jeff,2,1,1
affirming,2,5,-3
female,2,5,-3
lgtb,2,2,0
gc,2,2,0
fichadetramitacao,2,2,0
reconocimiento,2,2,0
cccccc,2,2,0
ni,2,2,0
php,2,2,0
txstate,2,2,0
cringegender,2,2,0
parlamento,2,2,0
waseda,2,2,0
mcp,2,2,0
why,2,2,0
short,2,2,0
newsite,2,2,0
right,2,7,-5
gb,2,2,0
south,2,13,-11
direito,2,2,0
mp,2,2,0
abc,2,2,0
nodal,2,2,0
around,2,3,-1
leyes,2,2,0
relid,2,2,0
magazine,2,5,-3
form,2,2,0
passports,2,2,0
continue,2,0,2
permitir,2,2,0
defacto,2,4,-2
re,2,2,0
legisinfo,2,2,0
idproposicao,2,2,0
si,2,2,0
hell,2,2,0
finnish,2,0,2
ionline,2,2,0
sexgenderapplicants,2,2,0
daily,2,2,0
los,2,2,0
us,2,3,-1
hu,2,2,0
dawn,2,2,0
aos,2,2,0
japaneselawtranslation,2,2,0
al,2,2,0
o,2,2,0
code,2,2,0
shanghaidaily,2,2,0
he,2,3,-1
media,2,2,0
jennifer,2,1,1
votes,2,3,-1
actual,2,2,0
post,2,2,0
cabinet,2,3,-1
high,2,2,0
outright,2,2,0
proposicoesweb,2,2,0
am,2,2,0
ecommons,2,2,0
service,2,2,0
toronto,2,5,-3
leading,2,5,-3
during,2,2,0
finland,2,10,-8
longer,2,4,-2
apnews,2,3,-1
womenofchina,2,2,0
slovak,2,4,-2
ante,2,2,0
sociedad,2,2,0
arp,2,2,0
index,2,6,-4
pginas,2,2,0
agency,2,4,-2
equality,2,3,-1
logical,2,2,0
action,2,2,0
say,2,2,0
before,2,2,0
minors,2,2,0
republic,2,5,-3
igualdad,2,2,0
npr,2,2,0
stage,2,4,-2
etiquetas,2,2,0
lu,2,2,0
society,2,2,0
mexico,2,3,-1
anna,2,2,0
biological,2,2,0
signed,2,5,-3
denmark,2,7,-5
inquirer,2,2,0
passed,2,8,-6
legality,2,19,-17
gouvernement,2,2,0
teni,2,2,0
broadcasting,2,2,0
hi,2,2,0
illegal,2,3,-1
anos,2,2,0
legislation,2,2,0
transvestism,2,2,0
assent,2,3,-1
newsinfo,2,2,0
apple,2,2,0
parlament,2,2,0
cbc,2,2,0
public,2,4,-2
gouv,2,2,0
delusions,2,2,0
thelogicalindian,2,2,0
sin,2,2,0
her,2,2,0
istscare,2,2,0
sinetiquetas,2,2,0
major,2,2,0
intergroup,2,3,-1
option,2,3,-1
only,2,2,0
prohibited,2,105,-103
she,2,1,1
abuse,1,1,0
hl,1,1,0
tw,1,1,0
trust,1,1,0
owl,1,2,-1
southernafricalitigationcentre,1,1,0
accept,1,1,0
ftikhar,1,1,0
canada,1,2,-1
division,1,1,0
shy,1,0,1
vm,1,1,0
far,1,2,-1
bolivia,1,2,-1
rlerdi,1,1,0
cis,1,1,0
electroshock,1,1,0
accepts,1,1,0
lens,1,1,0
discrimination,1,7,-6
deaths,1,1,0
cambiar,1,1,0
vanessa,1,1,0
instead,1,3,-2
royal,1,2,-1
make,1,2,-1
legabibo,1,1,0
barford,1,1,0
examintions,1,1,0
needed,1,0,1
sofia,1,1,0
goes,1,1,0
shame,1,2,-1
employment,1,2,-1
cases,1,3,-2
austlii,1,1,0
constitutionally,1,1,0
